record_id,flt_no,carrier,scheduled_date,delay_minutes,delay_category,delay_code,delay_reason,weather_condition,responsible_party,reported_by,report_time,resolution_time,passenger_compensation,estimated_cost_usd
DLY001,KE123,KAL,2024-01-15,15,MINOR,81,LATE_CREW,CLEAR,AIRLINE,OPS_CENTER,2024-01-15 08:32:00,2024-01-15 08:45:00,FALSE,0
DLY002,OZ201,AAR,2024-01-15,15,MINOR,63,CONNECTING_PAX,CLEAR,AIRPORT,GATE_AGENT,2024-01-15 09:02:00,2024-01-15 09:15:00,FALSE,0
DLY003,KE456,KAL,2024-01-15,5,MINIMAL,11,LATE_PAX,CLEAR,PASSENGER,GATE_AGENT,2024-01-15 10:18:00,2024-01-15 10:20:00,FALSE,0
DLY004,7C101,JJA,2024-01-15,5,MINIMAL,81,LATE_CREW,CLEAR,AIRLINE,OPS_CENTER,2024-01-15 07:02:00,2024-01-15 07:05:00,FALSE,0
DLY005,LJ302,JNA,2024-01-15,5,MINIMAL,11,LATE_PAX,CLEAR,PASSENGER,GATE_AGENT,2024-01-15 11:32:00,2024-01-15 11:35:00,FALSE,0
DLY006,KE789,KAL,2024-01-15,25,MODERATE,72,WEIGHT_BALANCE,CLEAR,AIRLINE,LOADMASTER,2024-01-15 13:05:00,2024-01-15 13:25:00,FALSE,1500
DLY007,TW501,TWB,2024-01-15,10,MINOR,63,CONNECTING_PAX,CLEAR,AIRPORT,GATE_AGENT,2024-01-15 16:02:00,2024-01-15 16:10:00,FALSE,0
DLY008,KE234,KAL,2024-01-15,15,MINOR,41,FUELING,CLEAR,GROUND_HANDLER,RAMP_AGENT,2024-01-15 18:32:00,2024-01-15 18:45:00,FALSE,500
DLY009,ZE201,ESR,2024-01-15,5,MINIMAL,11,LATE_PAX,CLEAR,PASSENGER,GATE_AGENT,2024-01-15 08:47:00,2024-01-15 08:50:00,FALSE,0
DLY010,KE567,KAL,2024-01-16,5,MINIMAL,81,LATE_CREW,CLEAR,AIRLINE,OPS_CENTER,2024-01-16 07:32:00,2024-01-16 07:35:00,FALSE,0
DLY011,OZ303,AAR,2024-01-16,5,MINIMAL,11,LATE_PAX,CLEAR,PASSENGER,GATE_AGENT,2024-01-16 09:17:00,2024-01-16 09:20:00,FALSE,0
DLY012,7C205,JJA,2024-01-16,5,MINIMAL,93,SECURITY,CLEAR,SECURITY,SEC_OFFICER,2024-01-16 10:32:00,2024-01-16 10:35:00,FALSE,0
