sku,warehouse_id,warehouse_name,location_code,current_stock,reserved_stock,available_stock,safety_stock,reorder_point,max_stock,last_inbound_date,last_outbound_date,lot_number,expiry_date,manufacture_date,inbound_cost_krw,storage_fee_daily,status,temperature_zone,supplier_ref,wms_metric_01,wms_metric_02,wms_metric_03,wms_metric_04,wms_metric_05,wms_metric_06,wms_metric_07,wms_metric_08,wms_metric_09,wms_metric_10,wms_metric_11,wms_metric_12,wms_metric_13,wms_metric_14,wms_metric_15,wms_metric_16,wms_metric_17,wms_metric_18,wms_metric_19,wms_metric_20,wms_flag_01,wms_flag_02,wms_flag_03,wms_flag_04,wms_flag_05,wms_flag_06,wms_flag_07,wms_flag_08,wms_flag_09,wms_flag_10
SKU00000001,WH-01,김포센터,A-06-2,57,40,173,10,150,200,20230428,20240502,LOT20241831,20250802,24/10/2023,10417,85.42,정상,상온,SUP-041,477.91,2184.4,4.66,128.91,499.22,606.38,93.64,369.03,461.42,44.43,878.88,949.3,2348.22,584.81,42.79,49.29,1197.17,268.42,258.5,312.54,Y,True,Y,True,yes,1,1,O,no,Y
SKU00000002,WH-01,김포센터,B-43-1,342,3,56,50,20,200,2023-11-12,2025-01-30,LOT20247027,2027-12-23,20230308,31698,62.51,정상,냉동,SUP-060,35.92,572.56,39.21,172.04,65.98,25.82,48.39,727.96,1618.99,141.59,179.87,75.69,49.64,262.12,30.62,354.08,2243.26,720.56,167.9,172.74,Y,False,N,True,no,1,1,O,yes,N
SKU00000003,WH-03,부산센터,E-23-5,255,12,263,100,30,800,06/09/2023,20240206,LOT20238975,2025-03-24,20241226,24877,76.15,정상,냉장,SUP-059,152.26,2618.96,22.72,270.15,372.36,613.31,469.6,236.33,129.77,528.59,1110.08,396.56,837.73,958.83,32.61,28.16,600.2,113.28,71.53,208.53,N,True,Y,False,yes,1,1,O,no,Y
,WH-04,대구센터,E-03-5,14,9,286,50,80,200,2025.01.12,09/05/2024,LOT20248230,20250807,05-12-2024,19794,86.63,정상,상온,SUP-059,306.88,664.16,89.28,112.35,135.52,75.25,291.15,2152.16,162.22,47.83,184.22,1205.77,514.42,2246.06,28.44,352.5,776.0,1469.49,65.84,924.86,N,True,Y,False,yes,1,1,O,no,N
SKU00000004,WH-04,대구센터,B-26-1,319,13,216,50,150,800,20251025,11/04/2025,LOT20238843,2027-09-10,2023.05.17,45787,17.73,이상재고,냉장,SUP-020,692.57,966.83,136.64,625.11,154.43,1123.0,248.38,45.44,181.88,123.73,778.69,429.09,722.54,1316.03,56.93,21.55,343.08,1596.07,150.18,67.58,N,False,N,True,no,1,0,O,yes,Y
SKU00000004,WH-02,인천센터,F-48-4,14,24,427,100,30,300,2023.10.01,2023.08.22,LOT20242250,07/05/2027,2024-04-06,25243,43.92,폐기예정,상온,SUP-020,696.23,1480.01,141.48,1428.21,52.81,601.05,366.31,754.37,356.64,0.94,356.54,508.96,102.63,1691.46,16.19,69.66,965.72,53.63,436.69,26.66,Y,True,Y,True,no,0,1,O,yes,N
SKU00000005,WH-03,부산센터,F-44-4,323,46,422,10,100,1000,20240403,19/09/2024,LOT20245651,2025.12.10,10-03-2024,36203,84.18,정상,냉동,SUP-058,4.39,318.92,100.13,152.31,415.01,87.24,150.8,2687.58,69.87,555.75,586.84,2286.81,433.75,1796.71,41.3,55.14,3775.05,382.0,37.19,82.27,N,True,N,True,yes,1,1,O,yes,Y
SKU00000005,WH-01,김포센터,B-11-3,112,26,380,100,100,500,20230828,2025.11.14,LOT20235346,11/08/2025,2023-07-15,38893,93.87,이상재고,상온,SUP-058,17.2,244.56,377.56,53.26,204.26,339.84,170.94,3748.67,202.12,355.67,767.86,188.77,2603.38,166.22,49.82,79.25,199.11,440.63,8.84,112.89,N,False,Y,True,no,1,1,O,yes,Y
SKU00000006,WH-05,광주센터,E-38-1,121,31,388,10,50,1000,20250506,2024.07.23,LOT20236727,08-05-2025,11-05-2024,4400,16.65,폐기예정,상온,SUP-022,264.8,1304.64,60.05,150.42,267.96,1059.92,105.08,542.6,212.45,364.67,75.34,627.82,849.09,2652.27,9.35,392.13,217.86,1036.34,474.91,45.38,N,False,Y,True,no,0,1,X,no,N
SKU00000006,WH-03,부산센터,F-33-3,15,2,8,100,20,200,03/02/2023,2025-02-16,LOT20247165,2025-02-11,2025.06.12,27753,23.57,정상,상온,SUP-022,231.71,1357.66,38.21,2989.61,1180.98,164.59,271.99,821.79,1107.94,58.19,399.24,21.44,375.55,234.31,22.75,300.43,844.79,654.64,34.33,108.87,Y,True,N,True,yes,1,0,O,yes,N
SKU00000007,WH-01,김포센터,F-45-4,428,11,137,50,50,1000,03-26-2023,2025.02.02,LOT20243435,2027.06.19,19/04/2025,7487,40.25,이상재고,냉동,SUP-010,97.0,2579.43,34.41,451.2,179.58,741.22,112.5,443.05,376.69,227.79,309.85,43.51,205.8,1845.14,32.16,82.98,701.06,210.52,247.36,7.37,N,False,Y,False,yes,1,0,X,no,N
SKU00000008,WH-05,광주센터,B-34-2,65,6,225,30,20,500,2024.11.28,20240728,LOT20240365,20270630,20231024,34048,94.6,정상,냉동,SUP-019,67.72,288.52,7.69,132.95,871.03,306.5,217.73,1641.33,877.43,24.52,66.84,959.54,103.99,516.91,170.2,19.71,1703.97,3097.36,399.45,281.04,N,False,Y,True,no,0,0,X,yes,Y
SKU00000009,WH-03,부산센터,E-33-3,334,16,171,10,150,500,20250520,12-11-2025,LOT20233277,2026-07-08,17/10/2024,30507,59.62,정상,냉동,SUP-053,14.39,74.88,54.34,817.21,665.94,2163.17,222.15,1111.15,1909.45,278.47,400.6,197.73,659.12,46.47,20.78,66.93,210.27,550.34,152.92,701.76,Y,False,Y,True,no,0,0,X,yes,Y
SKU00000010,WH-01,김포센터,F-39-2,219,40,371,50,50,1000,2025.05.07,2025.10.02,LOT20235753,21/11/2026,2023-10-02,32105,87.94,폐기예정,냉장,SUP-050,179.74,3363.21,10.13,24.88,6.85,907.0,81.82,823.45,577.78,162.83,1723.77,614.19,1591.52,265.62,20.8,341.48,688.71,1273.36,157.0,48.53,N,False,Y,True,no,1,1,X,no,N
SKU00000011,WH-03,부산센터,D-12-1,390,5,401,20,150,500,2024-07-25,10/11/2025,LOT20249082,2026.05.20,20230927,44718,12.3,폐기예정,냉장,SUP-004,33.06,100.7,20.4,1238.48,768.76,1116.6,34.78,3.79,567.1,24.71,301.72,659.24,444.79,1218.04,53.24,226.46,1149.12,248.4,124.4,44.37,N,True,Y,False,yes,1,0,X,no,N
SKU00000011,WH-04,대구센터,B-47-2,217,46,276,30,20,500,04-19-2024,10-08-2024,LOT20236936,2027.06.24,2024-03-27,45513,20.87,반품입고,냉장,SUP-004,2.3,1704.14,100.32,413.29,322.6,1891.92,173.19,163.85,335.48,55.78,1034.09,530.44,452.56,150.07,35.41,52.97,183.5,93.7,1001.06,343.2,Y,True,N,False,no,1,0,X,no,N
SKU00000011,WH-01,김포센터,F-37-3,188,49,191,20,150,1000,2025.11.13,12-18-2024,LOT20246305,20270517,06-11-2024,27466,91.07,정상,냉동,SUP-004,89.45,3728.13,158.78,278.95,239.43,1148.8,268.58,1618.92,79.96,134.05,350.84,5.09,499.34,48.94,69.11,259.96,256.38,207.43,153.51,283.78,Y,True,Y,False,yes,1,0,O,no,Y
SKU00000012,WH-05,광주센터,D-14-2,222,20,3,50,20,200,2024-06-26,16/10/2023,LOT20234477,2025-09-28,2025.03.30,42422,57.83,정상,상온,SUP-048,21.82,1843.2,34.3,1307.89,219.75,709.09,507.27,81.55,246.38,178.17,320.01,216.3,1236.64,594.82,49.1,59.6,1371.27,1569.06,32.87,97.1,Y,True,N,True,no,1,0,O,yes,Y
SKU00000012,WH-02,인천센터,C-29-5,411,46,244,100,50,1000,2025.08.22,08/02/2023,LOT20239229,06-12-2027,29/06/2025,39215,43.63,정상,상온,SUP-048,19.2,82.94,124.9,692.21,263.32,1271.36,325.57,954.88,3136.9,293.49,642.92,68.05,228.23,384.98,11.79,656.43,2046.5,821.57,533.07,22.25,N,True,Y,True,yes,1,1,O,no,Y
SKU00000013,WH-01,김포센터,F-41-2,64,27,164,100,30,300,08-23-2023,02-14-2025,LOT20248949,08-25-2027,2024-09-26,46671,19.57,정상,상온,SUP-031,46.32,146.37,171.09,320.42,59.3,73.63,704.92,389.96,24.75,86.14,1139.3,1135.96,1641.99,518.85,21.73,48.48,239.83,323.93,286.26,675.96,N,False,N,True,no,0,1,O,yes,N
SKU00000013,WH-02,인천센터,D-16-5,164,14,256,30,80,1000,2023-05-03,20230701,LOT20247400,03-12-2027,20230107,16307,97.08,정상,상온,SUP-031,448.41,169.23,24.07,393.17,828.08,1380.6,83.32,830.08,195.15,110.23,597.05,1511.96,417.69,120.51,16.09,34.53,1463.89,286.24,35.93,93.59,N,True,N,False,yes,1,0,X,yes,Y
SKU00000013,WH-03,부산센터,F-06-3,4,45,300,10,30,800,20250410,20/10/2024,LOT20247475,05/03/2026,07-12-2023,17391,62.96,반품입고,냉동,SUP-031,357.25,498.41,225.7,294.0,80.95,962.65,9.09,838.54,6.97,227.74,154.3,1557.26,944.08,518.67,36.62,185.24,1271.94,1829.34,657.37,76.58,N,False,Y,True,yes,0,0,O,no,N
SKU00000014,WH-01,김포센터,E-41-1,420,30,293,50,80,200,2023-03-22,2023.06.03,LOT20248771,11-17-2025,2025-06-25,10079,82.42,폐기예정,상온,SUP-054,928.33,1951.81,25.42,166.76,475.7,688.03,45.81,818.75,31.46,14.46,187.98,1012.6,789.16,445.59,6.27,221.9,201.72,65.47,90.88,237.35,Y,True,Y,False,yes,0,0,O,yes,Y
SKU00000015,WH-04,대구센터,C-19-5,381,44,199,10,50,500,2024.07.10,06-25-2024,LOT20231560,20270508,20240807,5409,10.67,정상,상온,SUP-027,129.87,976.41,47.3,2315.08,2107.66,104.34,191.57,1286.69,1061.46,288.43,772.97,738.72,1740.58,222.11,38.36,93.04,1904.42,114.46,285.52,330.8,N,True,Y,False,no,1,0,O,no,Y
SKU00000015,WH-01,김포센터,C-07-5,319,7,235,30,80,1000,2025.04.12,20250515,LOT20246694,08/06/2027,2024-09-25,38268,13.56,정상,상온,SUP-027,262.81,111.6,83.55,1624.9,111.39,1951.16,108.49,44.76,182.64,13.49,451.24,3147.68,214.83,209.69,40.98,39.1,1467.2,236.42,25.07,65.78,Y,False,Y,True,no,1,1,O,yes,Y
SKU00000015,WH-05,광주센터,C-16-5,432,39,378,100,20,500,10-04-2024,2024-07-24,LOT20248855,11/08/2025,2023.03.14,40135,29.37,폐기예정,상온,SUP-027,299.96,1001.52,29.51,60.65,502.58,2017.58,105.25,155.06,277.65,468.4,1263.02,230.07,162.79,1109.61,112.28,85.25,2464.99,1206.45,75.58,350.17,N,True,N,True,no,1,0,O,no,Y
