product_id,sku_code,barcode,product_name_ko,product_name_en,brand_id,brand_name,category_l1,category_l2,category_l3,category_l4,retail_price_krw,cost_price_krw,global_price_usd,jp_price_jpy,weight_g,volume_ml,is_bundle,bundle_components,ingredient_ids,key_ingredient_1,key_ingredient_2,key_ingredient_3,skin_type_target,skin_concern_target,launch_date,discontinue_date,status,vegan_yn,cruelty_free,ewa_grade,origin_country,shelf_life_months,supplier_id,min_order_qty,tax_type,attr_01,attr_02,attr_03,attr_04,attr_05,attr_06,attr_07,attr_08,attr_09,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,attr_28,attr_29,attr_30,attr_31,attr_32,attr_33,attr_34,attr_35,attr_36,attr_37,attr_38,attr_39,attr_40,quality_score_01,quality_score_02,quality_score_03,quality_score_04,quality_score_05,quality_score_06,quality_score_07,quality_score_08,quality_score_09,quality_score_10,quality_score_11,quality_score_12,quality_score_13,quality_score_14,quality_score_15,quality_score_16,quality_score_17,quality_score_18,quality_score_19,quality_score_20,pim_metric_01,pim_metric_02,pim_metric_03,pim_metric_04,pim_metric_05,pim_metric_06,pim_metric_07,pim_metric_08,pim_metric_09,pim_metric_10,pim_metric_11,pim_metric_12,pim_metric_13,pim_metric_14,pim_metric_15,pim_metric_16,pim_metric_17,pim_metric_18,pim_metric_19,pim_metric_20,pim_metric_21,pim_metric_22,pim_metric_23,pim_metric_24,pim_metric_25,pim_flag_01,pim_flag_02,pim_flag_03,pim_flag_04,pim_flag_05,pim_flag_06,pim_flag_07,pim_flag_08,pim_flag_09,pim_flag_10,pim_flag_11,pim_flag_12,pim_flag_13,pim_flag_14,pim_flag_15
PRD-00001,SKU00000001,8804536038811,토니모리 프로 남성향수 #02,Product_rvgr0v9d,BR-015,클리오,남성,남성향수,남성향수_프리미엄,sub_2pji0159,45000.0,84159,82.57,1480,250,300,N,,ING-0348|ING-0087|ING-0031|ING-0315|ING-0493|ING-0167|ING-0093|ING-0014|ING-0366,프로폴리스,프로폴리스,어성초,민감성|중성|건성,트러블,2020.07.19,,일시품절,N,False,3,한국,24,SUP-041,12,영세,val_2,val_23,val_9,val_47,val_47,val_8,,val_18,val_16,val_33,val_16,val_1,val_24,val_26,,val_2,val_49,,,val_32,,val_11,,,val_1,val_34,val_19,,,val_36,val_18,val_9,,,val_21,val_20,val_6,,val_7,val_26,22.31,16.75,61.08,19.67,6.39,47.839999999999996,41.63,25.39,50.61,52.1,44.14,16.56,35.3,37.78,30.28,14.030000000000001,88.39,35.63,22.28,16.259999999999998,47.79,2.79,59.16,217.56,312.28,4.79,34.47,354.68,57.29,492.57,61.48,7.62,1450.63,88.01,418.06,753.68,541.41,12.71,458.12,22.6,571.78,78.05,171.61,741.08,139.51,no,O,0,1,False,N,1,X,N,True,O,False,Y,0,X
PRD-00002,SKU00000002,8803145727388,토니모리 센시티브 바디오일 200ml,Product_5e93rc1y,BR-010,코스알엑스,바디케어,바디오일,바디오일_프리미엄,sub_oaxta8r8,28000.0,70914,10.47,6980,100,500,N,,ING-0153|ING-0200|ING-0051,티타늄디옥사이드,감초추출물,글리콜산,중성|건성,주름,2023-10-18,,판매중,해당없음,False,4,독일,30,SUP-060,1,과세,val_13,val_30,val_7,val_8,val_29,val_2,val_40,,val_37,val_4,,,,,,,,val_34,,val_10,val_41,,val_19,val_42,val_46,val_12,val_5,val_41,val_40,val_12,val_14,val_47,val_32,val_11,,,val_36,val_2,val_44,,22.689999999999998,19.5,71.87,23.96,28.910000000000004,10.92,64.64999999999999,17.48,15.040000000000001,10.14,29.01,37.13,15.65,33.0,19.12,32.9,17.4,26.640000000000004,29.799999999999997,44.16,33.6,310.38,622.11,287.18,416.84,587.19,111.66,111.31,289.77,1369.46,1854.77,279.77,1639.31,111.3,1.24,572.66,127.14,6.31,8.66,452.52,11.11,199.53,41.94,209.44,147.99,no,X,1,0,True,Y,1,O,Y,False,X,False,Y,0,X
PRD-00003,SKU00000003,8807415614391,아비브 맥스 아크네 세트,Product_9lzyeatx,BR-003,투쿨포스쿨,더마,아크네,아크네_남성용,sub_0n18ms68,38000.0,53357,122.17,990,200,500,N,,ING-0073|ING-0212|ING-0458|ING-0166|ING-0133|ING-0193|ING-0483|ING-0424,로즈힙오일,감초추출물,로즈힙오일,건성,보습|탄력|다크서클,05-05-2025,20240919,일시품절,Y,False,4,일본,24,SUP-059,6,과세,,val_40,val_42,val_14,val_22,,val_11,val_49,val_47,val_11,,val_15,val_1,val_40,val_39,,val_37,val_50,val_47,val_3,,val_41,val_12,val_15,,val_17,,val_49,,val_9,val_26,,,,,val_10,val_4,val_31,val_1,val_13,45.08,22.42,31.64,19.21,45.89,56.489999999999995,30.37,18.790000000000003,80.14,44.34,30.3,22.11,32.019999999999996,8.21,12.740000000000002,13.76,18.59,27.49,32.12,9.629999999999999,68.61,24.92,1500.8,109.37,144.52,120.17,63.62,730.25,166.53,846.72,117.4,24.87,197.91,277.5,45.07,277.24,139.82,163.32,148.38,15.48,545.4,88.13,1338.83,268.39,2550.67,yes,X,1,0,False,N,0,X,Y,False,X,True,N,1,O
PRD-00004,SKU00000004,8801737620005,에뛰드 프로 코롱 #01,Product_f6e4ncbj,BR-100,데이지크,향수,코롱,코롱_더마,sub_06l4ilih,250000.0,89908,51.51,990,300,200,N,,ING-0027|ING-0104|ING-0123|ING-0386,비타민C,호호바오일,나이아신아마이드,민감성|복합성,미백|보습|주름,24/04/2021,,시즌한정,N,인증중,3,미국,24,SUP-020,100,과세,,val_45,val_8,val_7,,val_6,,val_6,val_30,val_17,,,val_3,val_46,val_24,val_19,val_21,,val_30,val_6,val_14,,,val_7,,,val_11,val_23,val_6,val_7,val_9,val_7,,val_8,val_42,val_48,val_20,val_30,val_48,val_49,55.06999999999999,11.39,30.930000000000003,26.08,33.339999999999996,16.619999999999997,10.37,2.97,4.6899999999999995,15.959999999999999,23.169999999999998,5.319999999999999,38.91,23.369999999999997,5.67,5.9799999999999995,14.21,32.95,55.120000000000005,16.74,44.39,11.18,58.22,27.28,387.1,26.29,2672.5,70.44,47.39,5888.49,2158.66,104.37,1456.91,9.88,149.69,29.29,1276.41,543.07,26.35,204.68,1184.33,62.74,593.08,1136.52,130.81,yes,O,1,0,True,N,1,X,Y,True,O,False,N,1,X
PRD-00005,SKU00000005,8802670817331,클리오 슈퍼 면도 #02,Product_m2gk9jyf,BR-062,디올,남성,면도,면도_비건,sub_1vbi09v8,52000.0,41437,86.55,1980,100,10,N,,ING-0301|ING-0122|ING-0253|ING-0261|ING-0386|ING-0259|ING-0198|ING-0487|ING-0059|ING-0138|ING-0032|ING-0163,바쿠치올,아르간오일,펩타이드,트러블성|중성,트러블|미백|주름|다크서클,2021.02.06,,시즌한정,N,False,2,한국,12,SUP-058,48,과세,val_6,val_21,val_26,val_34,val_27,val_19,,,val_41,,val_29,val_44,val_26,val_43,,val_18,val_24,,,val_26,,,val_18,val_36,val_5,,,val_10,val_18,val_36,,val_13,val_35,val_41,val_1,val_18,val_11,val_25,,,2.73,29.54,44.61,46.989999999999995,45.32,11.200000000000001,12.17,46.26,14.14,32.629999999999995,64.98,54.31,24.63,24.29,26.729999999999997,27.92,29.53,11.44,55.269999999999996,33.47,120.85,52.55,10.13,175.49,290.3,386.84,666.79,1297.87,51.74,196.95,282.83,80.2,2090.31,256.93,19.37,107.82,152.31,1152.53,85.87,208.4,446.21,184.4,557.05,330.87,1406.12,yes,O,1,0,True,Y,0,O,Y,False,X,False,N,1,O
PRD-00006,SKU00000006,8803968050530,아누아 퓨어 클렌징워터 기획세트,Product_dmowihyb,BR-097,,클렌징,클렌징워터,클렌징워터_시즌한정,sub_2cp0yq18,28000.0,38503,45.52,3480,1000,30,N,,ING-0284|ING-0209|ING-0034|ING-0248|ING-0015|ING-0325|ING-0120|ING-0468|ING-0454|ING-0010,펩타이드,시어버터,징크옥사이드,건성,트러블|다크서클,2021.03.22,,판매중,Y,True,3,한국,6,SUP-022,12,과세,val_19,,val_45,,val_39,val_25,val_31,val_42,,val_42,val_19,val_2,val_34,val_14,val_15,val_39,val_8,val_42,val_48,val_8,val_34,val_42,,,,,,val_15,,,val_36,val_44,val_44,val_39,val_17,val_43,val_49,,val_5,val_6,14.530000000000001,53.54,54.86,1.6400000000000001,17.94,40.949999999999996,18.89,57.720000000000006,39.06,45.1,18.32,13.41,30.69,30.880000000000003,14.790000000000001,18.64,13.07,45.440000000000005,29.82,29.770000000000003,12.21,129.49,593.98,602.11,55.06,145.83,92.39,976.91,59.86,522.76,22.43,32.53,159.3,85.52,25.11,682.19,303.34,1145.54,15.85,306.43,68.77,162.97,1331.28,99.34,1426.77,yes,X,1,0,False,Y,1,O,N,False,O,False,Y,1,X
PRD-00007,SKU00000007,8804597372574,토리든 센시티브 두피케어 기획세트,Product_fgeeit8a,BR-056,애경,헤어케어,두피케어,두피케어_한방,sub_g75e06qw,120000.0,99282,118.46,2980,100,100,Y,PRD-00072|PRD-00464|PRD-01636,ING-0284|ING-0494|ING-0301|ING-0346|ING-0052|ING-0127|ING-0391,마데카소사이드,트라넥삼산,티타늄디옥사이드,건성|중성|트러블성,모공,09-28-2024,,판매중,N,False,5,한국,36,SUP-010,100,과세,,val_42,val_38,val_45,,val_24,val_49,val_47,,val_42,,val_22,val_34,val_50,,val_11,val_9,,val_23,val_24,val_11,val_43,,val_19,val_29,val_41,,val_3,val_46,,val_41,,,,val_24,val_33,,val_33,,val_6,43.45,41.53,9.879999999999999,9.33,6.04,63.39,11.88,61.88,60.29,33.96,17.119999999999997,9.879999999999999,15.73,49.27,37.04,26.88,60.28,22.66,9.81,49.39,9.65,209.87,125.62,78.5,394.89,47.41,545.31,298.38,60.53,2405.01,171.93,631.26,164.29,361.95,0.49,463.61,267.37,82.71,0.13,302.49,310.1,267.66,8.19,856.17,852.22,yes,X,0,0,True,Y,1,X,Y,False,X,False,N,1,X
PRD-00008,SKU00000008,8805625171850,세타필 센시티브 올인원 #03,Product_brl414cj,BR-006,에스쁘아,남성,올인원,올인원_한방,sub_ft52mfx1,18000.0,96459,133.54,1480,75,30,N,,ING-0334|ING-0403|ING-0065|ING-0156|ING-0291|ING-0209|ING-0229|ING-0043|ING-0434|ING-0326|ING-0257,아스코빌글루코사이드,감초추출물,BHA,중성,탄력|색소침착|홍조|피지,2022-03-13,,시즌한정,N,인증중,2,한국,36,SUP-019,100,과세,val_31,val_4,val_47,val_13,val_11,,,val_45,,,val_31,val_30,val_32,,val_23,,val_40,val_16,val_17,val_34,,,val_13,val_26,val_21,val_26,val_33,,val_11,val_44,val_30,,val_38,val_12,val_28,,val_42,,,,31.480000000000004,45.410000000000004,23.82,39.23,28.799999999999997,42.72,45.53,17.73,29.87,5.35,26.3,44.92,18.240000000000002,45.58,42.8,44.75,53.86,38.080000000000005,46.7,40.239999999999995,177.36,137.5,77.16,15.67,245.99,8.17,284.35,100.52,129.05,766.99,682.6,231.94,280.82,73.78,261.57,39.8,282.44,1666.15,21.77,44.08,6.78,22.44,29.69,402.89,129.52,yes,O,1,0,True,N,0,X,N,True,O,True,Y,0,O
PRD-00009,SKU00000009,8807557914291,올리브영PB 프로 재생 50g,Product_ffkk1mrn,BR-026,라네즈,더마,재생,재생_한방,sub_leqi9fc4,25000.0,78403,62.8,6980,150,200,N,,ING-0401|ING-0496|ING-0073|ING-0192|ING-0277|ING-0087,녹차추출물,카페인,알로에,민감성|복합성|중성,모공|각질|피지|다크서클,25/11/2024,,판매중,해당없음,False,4,호주,12,SUP-053,24,과세,val_4,val_19,val_1,,,,,,val_27,,val_20,val_27,,val_37,val_47,val_40,val_7,val_16,val_41,val_26,val_4,,val_5,val_48,val_24,val_30,val_36,val_31,val_40,val_27,,val_43,val_50,,val_28,val_48,,val_33,val_40,,26.479999999999997,78.49000000000001,36.95,15.7,27.63,40.26,28.08,8.24,24.92,30.0,31.669999999999998,25.22,20.75,26.700000000000003,12.4,34.599999999999994,55.54,53.68000000000001,29.29,66.97,92.15,156.72,512.79,101.68,391.23,372.06,410.75,1077.53,105.46,1306.0,1359.86,5.33,43.87,166.95,96.45,394.42,1235.8,1447.53,135.52,354.95,161.05,50.19,2141.8,1321.6,445.22,yes,X,0,0,True,Y,1,X,Y,False,O,True,N,1,X
PRD-00010,SKU00000010,8804641637153,올리브영PB 프로 바디미스트 #03,Product_10h57s4x,BR-014,클리오,향수,바디미스트,바디미스트_비건,sub_y7cqwloq,45000.0,44258,130.12,9800,30,300,N,,ING-0126|ING-0276|ING-0488|ING-0217|ING-0493|ING-0467|ING-0285|ING-0232|ING-0022|ING-0001|ING-0417|ING-0238|ING-0425|ING-0318|ING-0149,BHA,엘라스틴,라벤더,민감성|트러블성,피지|주름,06-13-2022,08-04-2026,일시품절,해당없음,False,4,한국,36,SUP-050,6,면세,,val_4,,val_21,val_32,,val_16,,val_22,val_43,,,val_36,val_19,val_17,,val_24,,val_10,val_24,val_24,,val_21,val_32,val_26,val_29,val_39,val_13,val_24,val_50,,val_40,,val_36,val_24,val_19,,val_26,val_20,val_31,40.46,47.64,12.06,57.54,25.53,17.119999999999997,33.900000000000006,23.79,39.7,36.97,40.5,28.67,1.51,17.02,52.6,23.549999999999997,13.69,11.29,28.58,49.38,29.27,131.51,385.12,1631.56,17.96,863.42,91.49,2514.8,45.99,464.61,464.5,410.3,369.69,410.69,25.82,417.05,2066.0,870.37,64.16,73.59,35.25,322.05,586.63,542.41,1023.3,no,O,0,0,False,Y,0,X,N,False,X,False,N,0,O
