promo_id,promo_name,promo_type,discount_type,discount_value,min_purchase_amount,max_discount_cap,start_date,end_date,status,target_segment,target_products,target_categories,target_brands,channel,budget_krw,used_budget_krw,redemption_count,coupon_codes,stacking_allowed,created_by,promo_metric_01,promo_metric_02,promo_metric_03,promo_metric_04,promo_metric_05,promo_metric_06,promo_metric_07,promo_metric_08,promo_metric_09,promo_metric_10,promo_metric_11,promo_metric_12,promo_metric_13,promo_metric_14,promo_metric_15,promo_flag_01,promo_flag_02,promo_flag_03,promo_flag_04,promo_flag_05,promo_flag_06,promo_flag_07,promo_flag_08,promo_flag_09,promo_flag_10
PM-0001,더블적립_4xqm,할인율,percent,40,30000,0,2024.10.18,2024-12-15,종료,VVIP|생일고객|신규,PRD-01346|PRD-00749|PRD-00791|PRD-00130|PRD-00643|PRD-01497|PRD-00567|PRD-01620|PRD-00976|PRD-00093|PRD-00741|PRD-00653|PRD-00515|PRD-01165|PRD-00149|PRD-01637|PRD-00357|PRD-01919|PRD-01283|PRD-01352|PRD-00138|PRD-00755|PRD-00178|PRD-00877|PRD-01476|PRD-00549|PRD-00148|PRD-00159|PRD-01160|PRD-01570|PRD-01881|PRD-01379|PRD-00701|PRD-00676|PRD-00878,클렌징,설화수|클리오,올리브영온라인|Android앱|iOS앱,50000000,1937219,174,BEAUTY433E1I|BEAUTYWUSXLM|BEAUTYTQYDSH,N,admin_12,98.84,54.04,259.7,79.54,175.74,573.5,331.79,301.4,473.83,12.8,24.7,66.77,119.31,867.85,400.86,X,Y,0,Y,True,no,N,False,O,False
PM-0002,봄세일_0xp0,1+1,gift,20,100000,10000,28/03/2024,04-13-2024,종료,이탈방지,PRD-00035|PRD-01167|PRD-01912|PRD-01374|PRD-00188|PRD-01181|PRD-01477|PRD-00770|PRD-01214|PRD-00434|PRD-01211|PRD-00658|PRD-00924|PRD-01121|PRD-01018|PRD-00733|PRD-01649|PRD-00379|PRD-00124|PRD-00978|PRD-01646|PRD-00002,향수|스킨케어,코스알엑스|세타필|라운드랩|넘버즈|네이처리퍼블릭,카카오톡채널|iOS앱,10000000,3575265,177,BEAUTY8OZCYW|BEAUTYX8ERTB|BEAUTY9IGFU8|BEAUTYKJ49YD,N,admin_4,30.58,53.34,89.4,588.61,31.22,1832.96,2320.42,85.97,687.65,11.38,19.17,598.28,293.28,165.21,1154.77,O,N,0,Y,False,yes,Y,False,O,True
PM-0003,블프_heij,재구매,gift,25,20000,10000,2024.02.23,03-16-2024,일시중지,VIP|생일고객,PRD-00038|PRD-00520|PRD-00346|PRD-00891|PRD-02000|PRD-00325|PRD-01366|PRD-00031|PRD-00146|PRD-01276|PRD-01776|PRD-01336|PRD-01017,선케어,아이오페|라로슈포제|VDL|네이처리퍼블릭,올리브영온라인,10000000,2671661,196,BEAUTYUZFK8U|BEAUTY58DRC1|BEAUTY63N2QB,N,admin_17,14.9,184.61,56.29,944.92,640.01,122.35,58.21,33.7,459.65,175.03,379.71,267.96,58.09,239.28,192.9,X,Y,0,Y,True,yes,Y,True,O,True
PM-0004,가을감사_1b6w,적립금,percent,5,100000,0,25/03/2025,2025.04.04,종료,신규|전체,PRD-00279|PRD-01493|PRD-01356|PRD-00184|PRD-00307|PRD-00630|PRD-00151|PRD-01927|PRD-00414|PRD-01171|PRD-00499,메이크업|헤어케어,더페이스샵,네이버스마트스토어|iOS앱,1000000,712315,195,BEAUTYHAGKC4,N,admin_9,1.44,28.4,1067.69,72.38,710.9,177.5,161.78,66.42,224.61,149.44,26.64,1542.06,196.58,1217.9,472.25,O,Y,0,Y,False,yes,Y,True,O,False
PM-0005,봄세일_lnmf,생일,gift,5000,0,50000,2024-03-06,13/04/2024,진행중,생일고객|VVIP|첫구매,PRD-00881|PRD-01856|PRD-01939|PRD-01271|PRD-00827|PRD-00948|PRD-01090|PRD-01161|PRD-01326|PRD-00930|PRD-00832|PRD-00075|PRD-01160|PRD-01956|PRD-01072|PRD-00972|PRD-00442|PRD-00152|PRD-00338|PRD-00874|PRD-01005|PRD-01830|PRD-00991|PRD-00474|PRD-00164|PRD-01635|PRD-01233|PRD-01578|PRD-00380|PRD-00271|PRD-00897|PRD-01336|PRD-00798|PRD-01383|PRD-01566|PRD-00058|PRD-00943|PRD-01965|PRD-00695|PRD-01425|PRD-01182|PRD-01974|PRD-01087|PRD-01096|PRD-01274|PRD-00974|PRD-01329|PRD-01116|PRD-00861|PRD-00722,바디케어,메디힐|어반디케이|토니모리|에뛰드|VDL,카카오톡채널|모바일웹|iOS앱,500000,74569,183,BEAUTYX39RBS|BEAUTYJGZLMA,N,admin_19,58.15,236.27,147.46,5.55,999.48,299.14,169.04,164.05,82.1,44.89,23.91,503.6,12.51,300.85,5.91,X,N,0,Y,True,no,Y,True,O,True
PM-0006,브랜드위크_67t8,정액할인,gift,40,30000,0,12-21-2023,2024.02.11,진행중,생일고객|전체,PRD-01722|PRD-01306|PRD-01917|PRD-00426|PRD-01927|PRD-01293|PRD-01403|PRD-01171|PRD-01844|PRD-01876|PRD-01431|PRD-01420|PRD-00633|PRD-00416|PRD-00237|PRD-01235|PRD-00188|PRD-01291|PRD-01577|PRD-00783,스킨케어|바디케어|메이크업|남성,데이지크,카카오톡채널,3000000,137608,180,BEAUTYUHXID4|BEAUTYPDTZ91|BEAUTYJEYN93|BEAUTYL0D1B4|BEAUTY4LDIMS,N,admin_2,25.55,129.88,89.46,984.28,262.4,399.31,127.2,546.38,60.2,163.51,72.01,355.74,414.39,745.55,1313.0,O,Y,1,Y,True,yes,N,True,O,True
PM-0007,더블적립_q6b1,재구매,gift,10,10000,0,20231117,2024-01-02,진행중,생일고객|전체|VVIP,PRD-00633|PRD-00386|PRD-00064|PRD-01954|PRD-01050|PRD-01377|PRD-01485|PRD-01609|PRD-01185|PRD-01305|PRD-00686|PRD-00373|PRD-00478|PRD-00256|PRD-00297|PRD-00094|PRD-00325|PRD-00248|PRD-01201|PRD-00142|PRD-00721|PRD-01725|PRD-00049|PRD-01587|PRD-00715|PRD-00996,더마,맥,카카오톡채널|올리브영온라인|모바일웹,500000,927428,204,BEAUTYEK4AEG|BEAUTYWB7SJW|BEAUTYWWG84D|BEAUTY4QXXVA|BEAUTY7YT2M6,N,admin_2,11.71,32.73,166.32,255.67,625.88,2400.59,910.97,56.48,398.24,89.61,14.45,1075.51,63.19,338.67,366.11,O,Y,1,N,True,no,N,False,O,False
PM-0008,1+1_tc6x,적립금,fixed,5,100000,0,2023.11.26,12-28-2023,종료,VIP|신규,PRD-00558|PRD-00580|PRD-01154|PRD-01311|PRD-00935|PRD-01638|PRD-01888|PRD-00582|PRD-00983|PRD-00015|PRD-01457|PRD-00103|PRD-00003|PRD-00288|PRD-00862|PRD-01983|PRD-01150|PRD-00951|PRD-00811|PRD-00628|PRD-00634|PRD-01116|PRD-01363|PRD-01562|PRD-00892|PRD-01017|PRD-00822|PRD-00610|PRD-01173,스킨케어|클렌징|선케어,아이오페|세타필|토리든|VDL,네이버스마트스토어|모바일웹|카카오톡채널,5000000,4080861,198,BEAUTY4N89QK,N,admin_15,183.81,79.64,45.71,498.69,749.61,170.29,14.27,84.28,112.96,102.83,36.23,861.93,143.77,994.43,41.33,O,Y,0,Y,False,no,N,False,O,True
PM-0009,더블적립_8zv6,적립금,gift,30,10000,10000,20231128,12-24-2023,일시중지,이탈방지,PRD-01215|PRD-00922|PRD-01892|PRD-00634|PRD-01813|PRD-01928|PRD-00183|PRD-00860|PRD-01672|PRD-00413|PRD-00790|PRD-01824|PRD-00712|PRD-00874|PRD-01415|PRD-00070|PRD-00527|PRD-01757|PRD-00678|PRD-00068|PRD-00048|PRD-00833|PRD-00501|PRD-00723|PRD-00645|PRD-01432|PRD-00452|PRD-00964|PRD-00408|PRD-00078|PRD-01206|PRD-01514|PRD-00791,더마|스킨케어|클렌징,파파레시피|설화수|에뛰드|맥,PC웹,500000,1342081,230,BEAUTYCXZ2EI|BEAUTYR5L8A7|BEAUTY6PE63L|BEAUTYAZXKDQ|BEAUTYENGWYX,Y,admin_13,48.4,115.99,62.59,148.23,140.69,0.3,518.74,899.0,38.57,149.49,87.34,995.91,78.81,2558.56,428.85,X,N,1,N,False,no,Y,True,O,True
PM-0010,블프_741w,적립금,bogo,25,20000,5000,20230629,20230825,종료,VVIP,PRD-01158|PRD-00874|PRD-01263|PRD-00382|PRD-01972|PRD-00952|PRD-00904|PRD-00162|PRD-00226|PRD-01808|PRD-01301|PRD-01159|PRD-01332|PRD-00734|PRD-00282|PRD-01166|PRD-01426|PRD-00779|PRD-00457|PRD-00658|PRD-00422|PRD-00102,클렌징|더마|메이크업,데이지크|토리든|라로슈포제|VDL|아누아,PC웹|무신사,5000000,1307601,197,BEAUTYHAGKC4|BEAUTYUBODS1,Y,admin_19,120.76,4.92,261.0,109.62,236.28,1015.51,797.74,471.94,579.94,39.34,45.88,1319.57,250.22,666.82,675.69,X,Y,0,N,False,no,Y,False,X,True
