return_id,ord_num,cust_key,return_type,return_reason,return_reason_detail,request_date,pickup_date,received_date,inspection_result,refund_amount_krw,refund_method,refund_status,refund_date,cs_agent_id,cs_channel,satisfaction_score,returned_item_code,returned_qty,photo_submitted,is_repeat_returner,cs_metric_01,cs_metric_02,cs_metric_03,cs_metric_04,cs_metric_05,cs_metric_06,cs_metric_07,cs_metric_08,cs_metric_09,cs_metric_10,cs_metric_11,cs_metric_12,cs_metric_13,cs_metric_14,cs_metric_15,cs_flag_01,cs_flag_02,cs_flag_03,cs_flag_04,cs_flag_05,cs_flag_06,cs_flag_07,cs_flag_08,cs_flag_09,cs_flag_10
RT-000001,ORD00009276,MF9A44828,부분반품,오배송,,2025.07.16,2025.02.25,,승인,149394,쿠폰발급,완료,07-09-2024,agent_23,채팅,1,SKU00000141,1,N,0,415.34,6.29,19.74,53.56,67.33,31.39,27.85,599.48,705.75,37.95,126.82,126.06,1024.05,889.26,1440.76,False,1,False,True,0,1,Y,1,yes,O
RT-000002,ORD00004133,M5DEED363,반품,사이즈맞지않음,,20230120,,,승인,4982,원결제수단,대기,,agent_16,이메일,5,SKU00000765,1,N,0,1442.24,4.25,29.34,60.78,727.69,23.46,150.03,140.72,834.62,87.24,166.71,168.36,97.2,129.06,1376.08,False,0,True,False,1,0,N,1,no,X
RT-000003,ORD00006384,MEF8C1595,전체반품,유통기한임박,상세사유_l7iptxcs,2024.09.17,19/04/2024,08-18-2025,,19520,계좌이체,완료,24/09/2025,agent_9,이메일,,SKU00000267,2,Y,1,939.23,22.75,7.68,15.6,376.97,33.02,76.34,254.64,176.56,268.87,11.37,29.36,101.64,267.5,1875.38,False,1,True,False,0,1,N,0,yes,X
RT-000004,ORD00001110,MCEA6167F,반품,텍스처불만,상세사유_mlsgzuaa,2023-05-13,20231031,,,34140,원결제수단,완료,2025-12-25,agent_11,카카오톡,,SKU00000226,2,N,0,688.48,51.72,0.85,143.71,2227.36,131.61,444.42,35.31,403.39,191.75,761.34,115.01,886.08,1448.31,758.0,True,0,True,True,1,0,Y,0,no,X
RT-000005,ORD00007306,M4D4C8436,반품,사이즈맞지않음,,2025-07-10,,18/04/2023,부분승인,75261,원결제수단,완료,06/09/2025,agent_2,게시판,2,SKU00001696,1,N,0,2092.59,18.34,3.21,91.94,622.97,252.45,57.56,173.0,15.68,514.12,634.17,100.49,1203.26,610.14,183.97,True,1,True,False,0,0,Y,0,no,X
RT-000006,ORD00005312,M645D5A84,교환,변심,,20250713,,2024-08-28,검수중,15047,포인트,처리중,,agent_21,카카오톡,1,SKU00001215,1,N,1,466.45,44.31,5.76,91.84,409.98,205.05,288.86,470.86,6.54,151.25,1000.81,175.23,3250.51,813.24,195.32,True,1,True,False,1,0,N,1,no,O
RT-000007,ORD00006742,M722C0D47,부분반품,파손/불량,상세사유_m48cih7s,05/04/2023,,10/10/2024,승인,57706,원결제수단,완료,,agent_5,카카오톡,4,SKU00001291,1,N,0,2201.52,73.31,2.97,121.87,1015.09,77.49,143.21,374.79,333.27,18.5,996.69,33.54,109.09,457.69,291.28,False,1,False,False,1,1,N,1,yes,X
RT-000008,ORD00011190,M50928A27,반품,향불만,,2025.02.20,21/04/2024,2025-06-27,,5467,원결제수단,완료,05-04-2023,agent_14,채팅,,SKU00000170,2,Y,0,528.36,12.03,21.71,137.64,751.06,6.92,243.42,18.29,1217.51,0.51,1120.51,272.67,125.95,1255.9,470.41,True,1,False,False,0,1,N,0,no,X
RT-000009,ORD00011258,MA82AE10B,반품,파손/불량,,05-07-2024,2023-02-12,20240608,,9156,쿠폰발급,완료,15/03/2024,agent_18,이메일,4,SKU00001406,1,N,0,661.36,1.46,4.29,369.79,192.93,32.8,223.58,263.5,654.22,365.85,441.76,17.57,145.16,697.76,332.3,True,0,False,False,1,1,N,1,yes,O
RT-000010,ORD00009797,M89A546DA,교환,변심,,12-04-2024,2023-11-10,2023-01-12,,7206,포인트,완료,,agent_2,카카오톡,4,SKU00001825,1,N,0,292.07,55.22,33.49,172.36,100.76,128.21,244.68,350.57,484.34,45.02,595.21,55.51,172.88,311.31,99.66,True,0,True,True,0,1,Y,1,yes,O
