supplier_id,supplier_name,business_reg_no,contact_person,contact_email,inbound_id,po_number,sku,brand_id,inbound_qty,unit_cost_krw,total_cost_krw,inbound_date,expected_date,warehouse_dest,quality_check,defect_rate_pct,lead_time_days,payment_terms,currency,origin_country,scm_metric_01,scm_metric_02,scm_metric_03,scm_metric_04,scm_metric_05,scm_metric_06,scm_metric_07,scm_metric_08,scm_metric_09,scm_metric_10,scm_metric_11,scm_metric_12,scm_metric_13,scm_metric_14,scm_metric_15,scm_flag_01,scm_flag_02,scm_flag_03,scm_flag_04,scm_flag_05,scm_flag_06,scm_flag_07,scm_flag_08
SUP-001,,568-70-34965,김담당자,contact_jgml6byq@supplier.co.kr,INB-NLHE10XD,PO-20251376,SKU00001899,BR-042,200,34911,43825434,01-31-2024,02-04-2024,WH-01,검사중,0.0,32,선불,KRW,독일,498.83,950.19,2346.8,8.24,439.6,69.17,1035.21,91.27,622.28,2417.74,284.99,744.05,101.55,19.3,141.95,yes,True,no,1,N,False,no,X
SUP-001,(주) 나스코스메틱,983-43-39356,박담당자,contact_nr4yk3bi@beauty.com,INB-L132NIK9,PO-20242243,SKU00000310,BR-042,100,54947,24837647,06-22-2024,2024-06-24,WH-05,합격,0.35,4,60일,KRW,중국,921.61,22.66,2.76,12.85,21.61,470.54,466.66,235.14,667.0,354.6,97.38,1809.85,113.69,40.01,856.6,yes,True,yes,0,N,True,yes,O
SUP-001,(주) 롬앤코스메틱,268-83-70702,이담당자,contact_gyaa3oxt@supplier.co.kr,INB-FKOSD2Y0,PO-20233703,SKU00001077,BR-042,100,61339,19140594,20251220,2025-12-17,WH-05,불합격,4.79,7,30일,USD,프랑스,86.79,297.37,787.12,40.06,190.38,370.5,49.75,451.46,1232.85,1.34,298.26,67.58,1203.09,39.23,1045.37,yes,True,no,1,N,True,yes,O
SUP-001,(주) 라네즈코스메틱,185-65-90791,정담당자,contact_j2ddje4j@supplier.co.kr,INB-9G0MJ7FV,PO-20255799,SKU00000733,BR-042,2000,27752,43448926,20250205,20250209,WH-02,합격,0.85,33,90일,EUR,일본,971.76,892.1,1068.65,7.25,222.28,228.9,582.31,303.7,1401.31,384.82,77.09,720.23,1012.71,70.42,589.82,yes,True,yes,1,Y,False,yes,X
SUP-001,(주) 헤라코스메틱,345-90-97781,최담당자,contact_o4okz3mf@beauty.com,INB-P77TTDQR,PO-20244124,SKU00001077,BR-042,300,23570,38027312,2023.04.28,05-01-2023,WH-05,불합격,3.92,38,선불,KRW,한국,50.44,713.2,2371.27,28.78,31.93,250.73,520.0,2025.16,1123.43,242.3,116.69,2044.82,214.86,4.65,407.31,yes,True,no,1,Y,True,no,X
SUP-001,주식회사 달바코스메틱,333-62-19440,최담당자,contact_bdlyhvam@cosme.kr,INB-8BLMJL6C,PO-20230785,SKU00001899,BR-042,2000,42875,49130550,30/09/2023,2023.09.29,WH-02,합격,0.39,18,90일,KRW,일본,90.15,553.39,797.83,3.33,34.8,61.25,478.85,3808.4,529.02,232.9,264.42,877.8,868.81,57.85,560.85,no,False,yes,0,Y,True,yes,X
SUP-001,(주) 메디힐코스메틱,406-51-55404,김담당자,contact_nl4bo9gq@beauty.com,INB-VG8PTZJC,PO-20256991,SKU00001077,BR-042,1000,14401,4186085,01-30-2023,2023.01.29,WH-01,검사중,2.96,11,90일,EUR,독일,1588.2,2901.44,3.39,40.04,11.64,454.74,66.25,248.14,755.49,124.08,203.56,398.55,198.94,59.0,1665.18,yes,False,yes,1,Y,False,yes,X
SUP-001,,803-16-34133,김담당자,contact_fln8u8to@cosme.kr,INB-E1850FHA,PO-20259125,SKU00000373,BR-042,100,77531,13963564,20231203,2023-12-06,WH-02,합격,0.44,25,위탁,KRW,한국,3864.28,285.79,977.53,21.0,21.95,3.69,474.32,189.49,533.46,397.91,558.88,1668.1,815.0,276.22,503.8,no,True,no,0,Y,True,yes,X
SUP-001,(주) 헤라코스메틱,275-14-38743,정담당자,contact_ow9y7gmm@cosme.kr,INB-E22SSBU3,PO-20236163,SKU00001057,BR-042,200,68927,49103420,2024-12-06,2024-12-10,WH-02,합격,3.68,36,30일,JPY,미국,506.69,3620.43,159.97,55.78,76.43,176.43,263.43,499.85,962.54,665.88,44.61,750.11,64.32,38.1,796.4,yes,False,no,0,N,True,yes,O
SUP-001,유한회사 달바코스메틱,657-98-82472,김담당자,contact_njjm3tm4@beauty.com,INB-CMEL6G6J,PO-20239730,SKU00001057,BR-042,200,26941,36919556,2023-12-15,12-10-2023,WH-04,부분합격,0.57,6,선불,KRW,미국,435.93,1765.35,203.24,7.83,109.8,65.09,90.54,2409.95,303.97,144.25,55.05,344.13,476.75,73.95,204.77,no,False,no,1,N,True,yes,O
