event_id,session_id,user_uid,event_type,event_timestamp,page_url,prd_no,search_query,referrer,platform,device,os,browser,screen_resolution,time_on_page_sec,scroll_depth_pct,cart_value_krw,ab_test_variant,analytics_metric_01,analytics_metric_02,analytics_metric_03,analytics_metric_04,analytics_metric_05,analytics_metric_06,analytics_metric_07,analytics_metric_08,analytics_metric_09,analytics_metric_10,analytics_metric_11,analytics_metric_12,analytics_metric_13,analytics_metric_14,analytics_metric_15,analytics_metric_16,analytics_metric_17,analytics_metric_18,analytics_metric_19,analytics_metric_20,analytics_flag_01,analytics_flag_02,analytics_flag_03,analytics_flag_04,analytics_flag_05,analytics_flag_06,analytics_flag_07,analytics_flag_08,analytics_flag_09,analytics_flag_10
EVT-00000001,sess_cz47jb7i,uid_9ef3b77b825d,filter,1745156179,/product/yezezlgf,PRD-01727,토너,youtube,Android앱,tablet,iOS,Chrome,1170x2532,21.2,43.6,89000,B,90.94,365.39,142.82,331.98,66.38,12.69,810.25,2355.98,466.04,986.23,167.84,221.79,506.65,13.45,48.07,887.8,211.63,772.06,736.82,1138.56,False,Y,0,yes,N,N,0,yes,Y,X
EVT-00000002,sess_950ujv6s,uid_1a1b74a405e3,product_view,1738179030,/event/afhrod49,,세럼,youtube,모바일웹,mobile,Android,Safari,390x844,57.5,95.2,25000,,3.0,92.91,95.78,464.21,205.7,15.68,522.75,137.27,329.04,126.81,164.04,203.49,187.02,23.11,130.34,49.25,2175.34,681.47,410.81,874.55,True,Y,1,no,Y,N,0,yes,Y,X
EVT-00000003,sess_zgd8azez,uid_c01d56004323,filter,1744937148,/cart/qamot7ak,PRD-00705,마스크팩,naver,무신사,mobile,macOS,Safari,2560x1440,5.9,75.8,89000,B,12.01,423.49,292.76,163.25,25.1,110.99,128.25,911.88,370.04,61.92,173.75,26.93,178.38,23.19,837.1,2223.27,496.64,456.7,233.7,171.57,True,Y,1,no,N,Y,0,no,N,O
EVT-00000004,sess_bx4n7u01,anon_2byyeybl,share,1747286248,/cart/s98g1uh4,,레티놀,instagram,모바일웹,mobile,Windows,Whale,390x844,4.9,96.2,0,B,13.2,506.46,331.11,85.94,592.88,404.03,78.28,91.65,221.92,669.55,39.44,233.68,629.68,3.45,918.51,1058.81,235.63,55.34,66.43,397.99,False,Y,1,yes,Y,Y,0,yes,Y,O
EVT-00000005,sess_mp28a2l5,uid_65551d583371,product_view,1739569788,/checkout/q3eo6p7k,PRD-00859,,direct,네이버스마트스토어,mobile,Android,Samsung,2560x1440,2.8,45.8,25000,,36.26,199.28,620.49,64.82,92.03,66.4,113.83,305.0,411.21,512.74,15.09,2199.27,592.1,3.27,148.74,1314.11,202.11,1526.4,130.17,729.68,False,N,0,no,N,Y,1,yes,N,X
EVT-00000006,sess_hkscgbtg,uid_d7fccb71f120,page_view,1717288828,/category/x8xexj01,PRD-01851,수분크림,kakao,PC웹,mobile,Android,Chrome,390x844,21.7,26.1,89000,B,66.21,49.76,445.16,610.06,464.45,194.48,5.15,1710.28,253.93,194.4,61.71,166.65,189.14,2.02,960.55,470.31,857.24,75.5,1053.85,140.1,False,Y,0,yes,Y,Y,1,no,N,X
EVT-00000007,sess_58b8d3rw,anon_vtxu7g6n,add_to_cart,1740305755,/checkout/axibnaul,PRD-00173,선크림,youtube,쿠팡,mobile,macOS,Samsung,1080x2400,53.8,31.8,89000,,108.82,2.3,428.52,134.79,547.36,17.29,15.08,261.05,373.29,102.22,49.99,594.21,134.67,2.53,127.68,978.99,141.24,466.26,307.89,2611.28,False,N,0,no,N,N,1,yes,Y,O
EVT-00000008,sess_3chv3wra,uid_4670c171468c,product_view,1724941826,/category/4i6fjymj,,선크림,affiliate,올리브영온라인,mobile,iOS,Safari,1080x2400,23.8,67.1,0,control,81.7,351.4,308.8,30.19,589.62,402.44,4.9,687.34,137.8,36.55,45.92,2164.13,15.24,10.04,313.7,1189.75,237.18,159.9,556.27,230.15,False,N,0,no,N,N,0,yes,Y,O
EVT-00000009,sess_vtl05mi4,anon_wimypo82,product_view,1761805408,/checkout/g64bv04x,PRD-00396,,google,무신사,desktop,Windows,Edge,1170x2532,14.6,33.0,0,A,60.21,123.0,272.48,387.94,0.89,55.76,234.39,2070.08,111.36,626.02,102.49,1422.37,288.41,0.94,296.02,72.74,1128.92,437.59,271.59,559.85,True,Y,1,yes,N,Y,1,yes,N,X
EVT-00000010,sess_9374zomn,anon_epvorrze,page_view,1729978026,/brand/oty02jpv,,,affiliate,PC웹,mobile,iOS,Samsung,1170x2532,71.8,30.6,25000,,212.92,183.98,18.77,913.8,231.32,200.56,173.96,1279.94,389.49,38.12,315.54,332.17,86.63,2.08,499.64,974.39,1250.32,953.29,328.37,329.58,False,Y,1,yes,N,N,1,no,Y,O
EVT-00000011,sess_zszf8z28,uid_d19f0219989f,product_view,1759682600,/product/lqqowzgx,,클렌징,direct,무신사,mobile,macOS,Whale,1080x2400,54.9,80.4,0,B,82.86,59.33,18.19,226.39,125.38,503.34,123.05,1204.49,182.83,237.31,226.6,841.18,1156.11,4.09,180.4,337.98,3452.68,46.95,29.83,394.01,True,N,1,no,Y,Y,1,yes,N,O
EVT-00000012,sess_gameyhdb,uid_0fd8a2815be7,wishlist_add,1720468806,/category/wajw8p0i,,클렌징,kakao,네이버스마트스토어,desktop,Windows,Whale,1920x1080,49.7,65.2,0,control,103.74,110.45,189.44,95.35,494.89,127.45,309.63,255.17,10.81,109.34,110.58,1932.56,95.24,16.76,146.36,606.92,179.39,107.77,50.91,603.59,False,Y,0,no,Y,Y,0,no,N,O
EVT-00000013,sess_huebwjye,uid_07fd2ef1d9d3,page_view,1758525306,/product/irvunjxk,,토너,kakao,올리브영온라인,desktop,iOS,Safari,1080x2400,142.5,35.1,0,C,355.23,137.91,849.09,226.19,550.98,144.31,378.92,154.85,14.52,1931.12,6.6,325.29,165.81,11.07,491.46,2557.98,5008.26,1788.21,143.31,139.9,True,N,0,no,N,N,1,yes,Y,O
EVT-00000014,sess_9tr6nf46,uid_247794faf1be,page_view,1764075571,/checkout/xiu26x8z,PRD-00300,,naver,Android앱,desktop,iOS,Edge,1920x1080,27.1,85.9,25000,C,29.38,57.77,279.16,26.15,206.41,80.07,108.12,61.74,307.98,2262.41,94.29,1278.28,63.55,14.83,197.49,3073.8,541.63,460.94,42.32,1832.5,False,N,1,no,Y,N,0,no,N,X
EVT-00000015,sess_7fi194bc,anon_07vp9ail,purchase,1756173600,/product/r78jk559,,,,PC웹,mobile,iOS,Edge,1080x2400,2.4,59.9,25000,C,81.37,238.73,217.04,172.69,179.81,147.2,149.03,622.73,530.19,340.76,253.95,671.18,30.89,17.76,502.57,310.49,3405.18,550.62,558.08,41.14,False,N,1,no,N,N,1,no,N,O
EVT-00000016,sess_xo72kk70,uid_24e6550558ad,page_view,1751889468,/event/8hlyedd6,PRD-01723,레티놀,direct,무신사,mobile,Android,Chrome,2560x1440,27.8,3.8,89000,,26.54,333.1,336.04,551.56,19.41,102.85,540.81,430.68,23.53,729.25,282.82,80.38,552.52,17.55,155.5,1326.72,1300.97,2740.0,156.84,298.27,True,Y,1,yes,Y,N,0,no,N,X
EVT-00000017,sess_kk2c4fno,uid_13de11b49415,filter,1731948606,/category/g9napzxw,,비타민C,kakao,PC웹,mobile,Windows,Safari,1170x2532,43.0,89.6,52000,C,63.79,194.73,34.01,186.77,434.11,258.84,252.96,188.56,827.62,724.64,90.52,700.61,419.74,6.4,36.7,2004.21,1123.01,414.33,582.18,350.09,False,N,1,yes,Y,N,1,yes,Y,X
EVT-00000018,sess_14oz9phs,anon_imknlew0,wishlist_add,1749236655,/category/l5x75q5u,PRD-01591,클렌징,google,모바일웹,mobile,Windows,Edge,1080x2400,19.6,21.9,25000,B,304.53,174.19,10.99,143.97,2.0,20.31,16.7,898.73,360.23,232.89,49.21,1245.75,278.66,2.51,117.28,634.62,529.41,438.93,154.23,117.12,False,N,1,yes,N,N,1,yes,Y,O
EVT-00000019,sess_28ri3e8g,uid_872243f231d7,search,1743533231,/brand/hv5bq155,,,kakao,모바일웹,desktop,macOS,Chrome,1080x2400,0.2,21.5,25000,B,123.1,172.91,264.97,193.08,253.32,113.7,169.95,59.24,436.93,353.22,132.96,2409.22,565.55,6.85,136.76,2624.27,150.37,667.85,40.56,222.69,False,Y,1,yes,Y,N,0,no,N,X
EVT-00000020,sess_9sfhf3c2,uid_30b36dada140,add_to_cart,1748613686,/event/o0am2v38,PRD-00481,,instagram,Android앱,mobile,iOS,Whale,1170x2532,2.3,51.7,0,B,13.32,346.66,302.35,17.94,431.53,283.01,57.2,204.11,62.13,532.25,81.83,433.97,900.66,7.27,403.93,2863.38,1165.72,446.2,44.84,589.51,False,Y,1,no,N,N,1,no,Y,X
