payment_id,order_ref,payment_method,amount,payment_date,pg_provider,card_company
PAY001,ORD001,credit_card,1550000,2024-01-15,toss,삼성카드
PAY002,ORD002,credit_card,118000,2024-01-18,inicis,현대카드
PAY003,ORD003,bank_transfer,1890000,2024-01-22,toss,
PAY004,ORD004,credit_card,204000,2024-01-25,kakao,신한카드
PAY005,ORD005,kakao_pay,89000,2024-02-01,kakao,
PAY006,ORD006,credit_card,1650000,2024-02-05,inicis,KB국민카드
PAY007,ORD007,naver_pay,234000,2024-02-10,naver,
PAY008,ORD008,credit_card,45000,2024-02-15,toss,롯데카드
PAY009,ORD009,kakao_pay,189000,2024-02-20,kakao,
PAY010,ORD010,credit_card,125000,2024-02-25,inicis,우리카드
PAY011,ORD011,bank_transfer,450000,2024-03-01,toss,
PAY012,ORD012,credit_card,79000,2024-03-05,kakao,하나카드
PAY013,ORD013,naver_pay,214000,2024-03-10,naver,
PAY014,ORD014,credit_card,1350000,2024-03-15,inicis,삼성카드
PAY015,ORD015,kakao_pay,159000,2024-03-18,kakao,
PAY016,ORD016,credit_card,85000,2024-03-22,toss,현대카드
PAY017,ORD017,bank_transfer,189000,2024-03-25,toss,
PAY018,ORD018,credit_card,129000,2024-03-28,inicis,신한카드
PAY019,ORD019,kakao_pay,35000,2024-04-01,kakao,
PAY020,ORD020,naver_pay,43000,2024-04-05,naver,
PAY021,ORD021,credit_card,89000,2024-04-10,toss,KB국민카드
PAY022,ORD022,credit_card,1550000,2024-04-12,inicis,삼성카드
PAY023,ORD023,kakao_pay,234000,2024-04-15,kakao,
PAY024,ORD024,credit_card,125000,2024-04-18,toss,롯데카드
PAY025,ORD025,naver_pay,450000,2024-04-20,naver,
