shipping_id,order_no,carrier,tracking_number,shipped_date,delivered_date,shipped_by
SHP001,ORD001,CJ대한통운,123456789012,2024-01-16,2024-01-18,VND001
SHP002,ORD002,롯데택배,234567890123,2024-01-19,2024-01-21,VND009
SHP003,ORD003,한진택배,345678901234,2024-01-23,2024-01-26,VND003
SHP004,ORD004,CJ대한통운,456789012345,2024-01-26,,VND005
SHP005,ORD005,우체국택배,567890123456,2024-02-02,2024-02-04,VND006
SHP006,ORD006,CJ대한통운,678901234567,2024-02-06,2024-02-09,VND003
SHP007,ORD007,롯데택배,789012345678,2024-02-11,,VND006
SHP008,ORD008,한진택배,890123456789,2024-02-16,2024-02-18,VND013
SHP009,ORD009,CJ대한통운,901234567890,2024-02-21,2024-02-23,VND005
SHP010,ORD010,우체국택배,012345678901,2024-02-26,,VND010
SHP011,ORD011,CJ대한통운,111222333444,2024-03-02,2024-03-04,VND004
SHP012,ORD012,롯데택배,222333444555,2024-03-06,,VND009
SHP013,ORD013,한진택배,333444555666,2024-03-11,2024-03-13,VND006
SHP014,ORD014,CJ대한통운,444555666777,2024-03-16,,VND001
SHP015,ORD015,우체국택배,555666777888,2024-03-19,2024-03-21,VND009
SHP016,ORD016,CJ대한통운,666777888999,2024-03-23,2024-03-25,VND010
SHP017,ORD017,롯데택배,777888999000,2024-03-26,,VND005
SHP018,ORD018,한진택배,888999000111,2024-03-29,,VND009
SHP019,ORD019,CJ대한통운,999000111222,2024-04-02,2024-04-04,VND010
SHP020,ORD020,우체국택배,000111222333,2024-04-06,2024-04-08,VND013
SHP021,ORD021,CJ대한통운,111333555777,2024-04-11,,VND006
SHP022,ORD022,롯데택배,222444666888,2024-04-13,,VND002
SHP023,ORD023,한진택배,333555777999,2024-04-16,2024-04-18,VND006
SHP024,ORD024,CJ대한통운,444666888000,2024-04-19,2024-04-21,VND010
SHP025,ORD025,우체국택배,555777999111,2024-04-21,,VND004
