schedule_id,course_id,classroom_id,day_of_week,start_time,end_time,semester,year
SCH001,CRS001,CLR003,Monday,09:00,10:30,spring,2024
SCH002,CRS001,CLR003,Wednesday,09:00,10:30,spring,2024
SCH003,CRS002,CLR002,Tuesday,14:00,16:00,spring,2024
SCH004,CRS002,CLR002,Thursday,14:00,16:00,spring,2024
SCH005,CRS003,CLR002,Monday,11:00,12:30,spring,2024
SCH006,CRS003,CLR002,Wednesday,11:00,12:30,spring,2024
SCH007,CRS004,CLR004,Tuesday,09:00,10:30,spring,2024
SCH008,CRS004,CLR004,Thursday,09:00,10:30,spring,2024
SCH009,CRS005,CLR005,Monday,14:00,15:30,spring,2024
SCH010,CRS005,CLR005,Wednesday,14:00,15:30,spring,2024
SCH011,CRS007,CLR006,Monday,10:00,12:00,spring,2024
SCH012,CRS007,CLR006,Wednesday,10:00,12:00,spring,2024
SCH013,CRS009,CLR008,Tuesday,11:00,13:00,spring,2024
SCH014,CRS009,CLR008,Thursday,11:00,13:00,spring,2024
SCH015,CRS011,CLR010,Monday,13:00,15:00,spring,2024
SCH016,CRS011,CLR010,Wednesday,13:00,15:00,spring,2024
SCH017,CRS013,CLR012,Tuesday,15:00,16:30,spring,2024
SCH018,CRS013,CLR012,Thursday,15:00,16:30,spring,2024
SCH019,CRS014,CLR002,Friday,09:00,12:00,spring,2024
SCH020,CRS015,CLR005,Friday,14:00,17:00,spring,2024
