tuition_id,student_id,semester,year,tuition_amount,fees,scholarship_amount,payment_due,payment_status,paid_amount,paid_date
TUI001,STU001,fall,2023,24500.00,1500.00,5000.00,2023-09-01,paid,21000.00,2023-08-28
TUI002,STU001,spring,2024,24500.00,1500.00,5000.00,2024-01-15,paid,21000.00,2024-01-10
TUI003,STU002,fall,2023,24500.00,1500.00,8000.00,2023-09-01,paid,18000.00,2023-08-25
TUI004,STU002,spring,2024,24500.00,1500.00,8000.00,2024-01-15,paid,18000.00,2024-01-12
TUI005,STU003,fall,2023,24500.00,1500.00,3000.00,2023-09-01,paid,23000.00,2023-08-30
TUI006,STU003,spring,2024,24500.00,1500.00,3000.00,2024-01-15,partial,15000.00,2024-01-14
TUI007,STU004,fall,2023,24500.00,1500.00,6000.00,2023-09-01,paid,20000.00,2023-08-27
TUI008,STU005,fall,2023,24500.00,1500.00,4000.00,2023-09-01,paid,22000.00,2023-08-26
TUI009,STU006,fall,2023,24500.00,1500.00,10000.00,2023-09-01,paid,16000.00,2023-08-24
TUI010,STU007,fall,2023,24500.00,1500.00,2000.00,2023-09-01,paid,24000.00,2023-08-29
TUI011,STU008,fall,2023,24500.00,1500.00,12000.00,2023-09-01,paid,14000.00,2023-08-22
TUI012,STU009,fall,2023,24500.00,1500.00,5000.00,2023-09-01,paid,21000.00,2023-08-28
TUI013,STU010,fall,2023,24500.00,1500.00,7000.00,2023-09-01,paid,19000.00,2023-08-25
TUI014,STU011,fall,2023,24500.00,1500.00,9000.00,2023-09-01,paid,17000.00,2023-08-23
TUI015,STU012,fall,2023,24500.00,1500.00,4500.00,2023-09-01,paid,21500.00,2023-08-27
