card_id,customer_id,card_number_last4,card_type,credit_limit,current_balance,available_credit,interest_rate,annual_fee,issue_date,expiry_date,status
CARD001,CUST001,4521,platinum,25000.00,3500.00,21500.00,18.99,95.00,2023-02-01,2026-02-01,active
CARD002,CUST002,7832,gold,15000.00,2100.00,12900.00,21.99,75.00,2023-04-15,2026-04-15,active
CARD003,CUST003,2145,standard,8000.00,4500.00,3500.00,24.99,0.00,2023-06-01,2026-06-01,active
CARD004,CUST004,9087,platinum,35000.00,8200.00,26800.00,17.99,195.00,2023-07-15,2026-07-15,active
CARD005,CUST005,3698,gold,12000.00,1800.00,10200.00,20.99,75.00,2023-08-01,2026-08-01,active
CARD006,CUST006,5214,standard,10000.00,6200.00,3800.00,23.99,0.00,2023-09-15,2026-09-15,active
CARD007,CUST007,8741,student,2000.00,850.00,1150.00,22.99,0.00,2023-10-01,2026-10-01,active
CARD008,CUST008,1478,black,50000.00,12000.00,38000.00,15.99,495.00,2023-11-01,2026-11-01,active
CARD009,CUST009,6325,gold,18000.00,4200.00,13800.00,19.99,75.00,2023-12-01,2026-12-01,active
CARD010,CUST010,2589,platinum,28000.00,5600.00,22400.00,18.49,95.00,2024-01-01,2027-01-01,active
