investment_id,account_id,symbol,investment_type,shares,purchase_price,current_price,purchase_date,market_value,gain_loss,advisor_id
INV001,ACC004,AAPL,stock,100,150.00,185.50,2023-04-01,18550.00,3550.00,ADV001
INV002,ACC004,MSFT,stock,75,280.00,375.20,2023-04-15,28140.00,7140.00,ADV001
INV003,ACC004,VFIAX,mutual_fund,200,380.00,425.00,2023-05-01,85000.00,9000.00,ADV001
INV004,ACC008,GOOGL,stock,50,120.00,142.80,2023-06-01,7140.00,1140.00,ADV002
INV005,ACC008,AMZN,stock,80,130.00,178.50,2023-06-15,14280.00,3880.00,ADV002
INV006,ACC008,VBTLX,bond_fund,300,10.50,10.85,2023-07-01,3255.00,105.00,ADV002
INV007,ACC015,SPY,etf,150,450.00,495.20,2023-08-01,74280.00,6780.00,ADV001
INV008,ACC015,QQQ,etf,100,380.00,420.50,2023-08-15,42050.00,4050.00,ADV001
INV009,ACC015,BND,bond_etf,200,72.00,74.25,2023-09-01,14850.00,450.00,ADV002
INV010,ACC020,TSLA,stock,60,250.00,245.00,2023-10-01,14700.00,-300.00,ADV001
INV011,ACC020,NVDA,stock,40,450.00,725.00,2023-10-15,29000.00,11000.00,ADV001
INV012,ACC020,VXUS,etf,250,55.00,58.40,2023-11-01,14600.00,850.00,ADV002
