payment_id,loan_id,payment_date,payment_amount,principal_paid,interest_paid,remaining_balance,payment_method,late_fee,status
PAY0001,LOAN001,2024-01-01,2212.24,318.91,1893.33,349681.09,auto_debit,0.00,on_time
PAY0002,LOAN002,2024-01-15,540.83,403.03,137.80,27596.97,auto_debit,0.00,on_time
PAY0003,LOAN003,2024-01-01,480.32,361.44,118.88,14638.56,check,0.00,on_time
PAY0004,LOAN004,2024-01-01,2617.14,403.93,2213.21,424596.07,auto_debit,0.00,on_time
PAY0005,LOAN005,2024-01-15,518.23,404.57,113.66,21595.43,auto_debit,0.00,on_time
PAY0006,LOAN006,2024-01-01,593.51,281.01,312.50,49718.99,auto_debit,0.00,on_time
PAY0007,LOAN007,2024-01-01,373.28,300.00,73.28,7700.00,online,0.00,on_time
PAY0008,LOAN008,2024-01-01,3209.65,572.48,2637.17,549427.52,auto_debit,0.00,on_time
PAY0009,LOAN009,2024-01-01,573.35,412.77,160.58,34587.23,auto_debit,0.00,on_time
PAY0010,LOAN010,2024-01-01,466.08,297.33,168.75,44702.67,auto_debit,0.00,on_time
PAY0011,LOAN001,2024-02-01,2212.24,320.63,1891.61,349360.46,auto_debit,0.00,on_time
PAY0012,LOAN002,2024-02-15,540.83,405.01,135.82,27191.96,auto_debit,0.00,on_time
PAY0013,LOAN003,2024-02-01,480.32,364.30,116.02,14274.26,check,0.00,on_time
PAY0014,LOAN004,2024-02-01,2617.14,406.03,2211.11,424190.04,auto_debit,0.00,on_time
PAY0015,LOAN005,2024-02-15,518.23,406.66,111.57,21188.77,auto_debit,0.00,on_time
PAY0016,LOAN006,2024-02-01,593.51,282.77,310.74,49436.22,auto_debit,0.00,on_time
PAY0017,LOAN007,2024-02-01,373.28,302.75,70.53,7397.25,online,0.00,on_time
PAY0018,LOAN008,2024-02-01,3209.65,575.22,2634.43,548852.30,auto_debit,0.00,on_time
PAY0019,LOAN009,2024-02-01,573.35,414.66,158.69,34172.57,auto_debit,0.00,on_time
PAY0020,LOAN010,2024-02-01,466.08,298.44,167.64,44404.23,auto_debit,0.00,on_time
