attendance_id,staff_id,work_date,check_in,check_out,status,approved_by_manager
ATT001,EMP012,2024-04-01,09:00,18:30,normal,EMP007
ATT002,EMP013,2024-04-01,08:45,18:15,normal,EMP007
ATT003,EMP014,2024-04-01,09:15,19:00,normal,EMP007
ATT004,EMP011,2024-04-01,08:30,17:30,normal,EMP006
ATT005,EMP016,2024-04-01,09:30,18:00,late,EMP006
ATT006,EMP018,2024-04-01,09:00,18:00,normal,EMP012
ATT007,EMP012,2024-04-02,09:05,18:45,normal,EMP007
ATT008,EMP013,2024-04-02,08:50,18:20,normal,EMP007
ATT009,EMP014,2024-04-02,09:00,20:00,overtime,EMP007
ATT010,EMP011,2024-04-02,08:40,17:40,normal,EMP006
ATT011,EMP016,2024-04-02,09:00,18:30,normal,EMP006
ATT012,EMP018,2024-04-02,09:10,18:10,normal,EMP012
ATT013,EMP012,2024-04-03,09:00,18:30,normal,EMP007
ATT014,EMP013,2024-04-03,,,,absent
ATT015,EMP014,2024-04-03,09:00,21:00,overtime,EMP007
ATT016,EMP017,2024-04-03,09:00,18:00,normal,EMP008
ATT017,EMP015,2024-04-03,08:30,17:30,normal,EMP009
ATT018,EMP020,2024-04-03,09:00,18:00,normal,EMP015
ATT019,EMP012,2024-04-04,09:00,18:00,normal,EMP007
ATT020,EMP014,2024-04-04,08:45,19:30,normal,EMP007
