request_id,requestor,leave_type,start_date,end_date,days,status,reviewed_by
LV001,EMP012,annual,2024-02-19,2024-02-23,5,approved,EMP007
LV002,EMP013,sick,2024-04-03,2024-04-03,1,approved,EMP007
LV003,EMP011,annual,2024-03-11,2024-03-15,5,approved,EMP006
LV004,EMP016,personal,2024-01-22,2024-01-22,1,approved,EMP006
LV005,EMP014,annual,2024-05-20,2024-05-24,5,pending,EMP007
LV006,EMP018,sick,2024-03-05,2024-03-06,2,approved,EMP012
LV007,EMP015,annual,2024-04-08,2024-04-12,5,approved,EMP009
LV008,EMP017,personal,2024-02-14,2024-02-14,1,approved,EMP008
LV009,EMP019,sick,2024-04-01,2024-04-02,2,approved,EMP011
LV010,EMP020,annual,2024-06-03,2024-06-07,5,pending,EMP015
LV011,EMP012,personal,2024-04-15,2024-04-15,1,rejected,EMP007
LV012,EMP013,annual,2024-07-01,2024-07-12,10,pending,EMP007
