assignment_id,proj_ref,assigned_staff,role,assigned_date,hours_allocated
ASN001,PRJ001,EMP007,project_lead,2023-01-15,500
ASN002,PRJ001,EMP012,developer,2023-01-20,400
ASN003,PRJ001,EMP013,developer,2023-01-20,400
ASN004,PRJ001,EMP008,designer,2023-02-01,200
ASN005,PRJ002,EMP006,project_lead,2023-03-01,300
ASN006,PRJ002,EMP016,marketer,2023-03-15,250
ASN007,PRJ002,EMP008,designer,2023-03-15,200
ASN008,PRJ003,EMP003,sponsor,2023-06-01,100
ASN009,PRJ003,EMP007,tech_lead,2023-06-01,600
ASN010,PRJ003,EMP012,developer,2023-06-15,500
ASN011,PRJ003,EMP014,data_engineer,2023-07-01,450
ASN012,PRJ004,EMP002,project_lead,2023-09-01,400
ASN013,PRJ004,EMP011,sales_lead,2023-09-15,350
ASN014,PRJ004,EMP006,marketing,2023-10-01,250
ASN015,PRJ005,EMP014,project_lead,2024-01-10,400
ASN016,PRJ005,EMP012,developer,2024-01-15,300
ASN017,PRJ005,EMP017,qa,2024-02-01,150
ASN018,PRJ006,EMP004,sponsor,2024-02-01,80
ASN019,PRJ006,EMP009,project_lead,2024-02-01,300
ASN020,PRJ006,EMP015,admin,2024-02-15,200
