salary_id,worker_id,base_salary,bonus,effective_date,approved_by
SAL001,EMP001,150000000,30000000,2024-01-01,
SAL002,EMP002,95000000,15000000,2024-01-01,EMP001
SAL003,EMP003,92000000,18000000,2024-01-01,EMP001
SAL004,EMP004,88000000,12000000,2024-01-01,EMP001
SAL005,EMP005,90000000,14000000,2024-01-01,EMP001
SAL006,EMP006,72000000,10000000,2024-01-01,EMP002
SAL007,EMP007,78000000,15000000,2024-01-01,EMP003
SAL008,EMP008,70000000,8000000,2024-01-01,EMP003
SAL009,EMP009,65000000,7000000,2024-01-01,EMP004
SAL010,EMP010,68000000,8000000,2024-01-01,EMP005
SAL011,EMP011,55000000,8000000,2024-01-01,EMP006
SAL012,EMP012,62000000,10000000,2024-01-01,EMP007
SAL013,EMP013,60000000,8000000,2024-01-01,EMP007
SAL014,EMP014,65000000,12000000,2024-01-01,EMP007
SAL015,EMP015,52000000,5000000,2024-01-01,EMP009
SAL016,EMP016,54000000,6000000,2024-01-01,EMP006
SAL017,EMP017,58000000,7000000,2024-01-01,EMP008
SAL018,EMP018,36000000,0,2024-01-01,EMP012
SAL019,EMP019,36000000,0,2024-01-01,EMP011
SAL020,EMP020,38000000,0,2024-01-01,EMP015
