id,training_ref,participant,completion_status,score
TP001,TRN001,EMP018,completed,85
TP002,TRN001,EMP019,completed,78
TP003,TRN001,EMP020,completed,82
TP004,TRN002,EMP012,completed,92
TP005,TRN002,EMP013,completed,88
TP006,TRN002,EMP017,completed,85
TP007,TRN002,EMP018,completed,75
TP008,TRN003,EMP006,completed,90
TP009,TRN003,EMP007,completed,88
TP010,TRN003,EMP008,completed,85
TP011,TRN003,EMP009,completed,87
TP012,TRN004,EMP011,completed,80
TP013,TRN004,EMP016,completed,92
TP014,TRN004,EMP019,completed,72
TP015,TRN005,EMP007,in_progress,
TP016,TRN005,EMP012,in_progress,
TP017,TRN005,EMP014,in_progress,
TP018,TRN006,EMP011,registered,
TP019,TRN006,EMP015,registered,
TP020,TRN006,EMP016,registered,
