inventory_id,product_id,warehouse_id,quantity,unit,reorder_point,reorder_quantity,last_count_date,bin_location,status
INV001,PRD001,WH001,5000,units,1000,3000,2024-01-20,A-01-01,available
INV002,PRD001,WH002,3500,units,800,2500,2024-01-20,B-02-03,available
INV003,PRD002,WH001,2500,units,500,1500,2024-01-19,A-02-05,available
INV004,PRD002,WH003,1800,units,400,1200,2024-01-19,C-01-02,available
INV005,PRD003,WH002,4200,units,900,2800,2024-01-20,B-03-01,available
INV006,PRD003,WH004,2100,units,500,1500,2024-01-18,D-01-04,available
INV007,PRD004,WH001,800,units,200,600,2024-01-21,A-04-02,low_stock
INV008,PRD004,WH005,1200,units,300,800,2024-01-21,E-02-01,available
INV009,PRD005,WH003,3600,units,700,2200,2024-01-20,C-02-03,available
INV010,PRD005,WH006,2800,units,600,1800,2024-01-19,F-01-05,available
INV011,PRD006,WH002,1500,units,350,1000,2024-01-21,B-04-02,available
INV012,PRD006,WH007,950,units,250,700,2024-01-21,G-01-03,available
INV013,PRD007,WH004,4500,units,1000,3200,2024-01-20,D-02-01,available
INV014,PRD007,WH008,2200,units,500,1500,2024-01-19,H-01-02,available
INV015,PRD008,WH001,600,units,150,450,2024-01-22,A-05-01,low_stock
