item_id,order_id,product_id,quantity,unit_price,line_total,picked,packed,shipped
ITM001,ORD001,PRD001,50,12.50,625.00,true,true,true
ITM002,ORD001,PRD003,25,15.75,393.75,true,true,true
ITM003,ORD001,PRD005,10,22.50,225.00,true,true,true
ITM004,ORD002,PRD002,8,85.00,680.00,true,true,true
ITM005,ORD002,PRD007,12,18.25,219.00,true,true,true
ITM006,ORD003,PRD006,15,125.00,1875.00,true,true,true
ITM007,ORD003,PRD009,8,35.00,280.00,true,true,true
ITM008,ORD004,PRD001,100,12.50,1250.00,true,true,false
ITM009,ORD004,PRD003,40,15.75,630.00,true,true,false
ITM010,ORD005,PRD010,20,150.00,3000.00,true,true,true
ITM011,ORD005,PRD005,8,22.50,180.00,true,true,true
ITM012,ORD006,PRD004,25,45.00,1125.00,true,false,false
ITM013,ORD006,PRD007,18,18.25,328.50,true,false,false
ITM014,ORD007,PRD002,10,85.00,850.00,true,true,true
ITM015,ORD007,PRD001,10,12.50,125.00,true,true,true
ITM016,ORD008,PRD006,18,125.00,2250.00,true,true,false
ITM017,ORD008,PRD009,12,35.00,420.00,true,true,false
ITM018,ORD009,PRD003,50,15.75,787.50,true,true,true
ITM019,ORD009,PRD007,18,18.25,328.50,true,true,true
ITM020,ORD010,PRD010,30,150.00,4500.00,false,false,false
