perf_id,ad_cmp_id,date,impressions,clicks,conversions,spend,cpc,cpa,ctr
PERF000001,AD00024,2023-08-06,54010,2432,195,171076,70.34,877.31,4.5
PERF000002,AD00012,2023-09-16,45106,1715,25,108937,63.52,4357.48,3.8
PERF000003,AD00022,2023-11-02,80723,1927,179,7400,3.84,41.34,2.39
PERF000004,AD00028,2023-07-12,25476,375,8,52459,139.89,6557.38,1.47
PERF000005,AD00029,2023-09-18,63700,2405,126,110181,45.81,874.45,3.78
PERF000006,AD00009,2023-08-20,81382,1033,12,25726,24.9,2143.83,1.27
PERF000007,AD00012,2023-08-11,93948,4635,84,136952,29.55,1630.38,4.93
PERF000008,AD00017,2023-10-15,68773,2446,243,6604,2.7,27.18,3.56
PERF000009,AD00035,2023-06-04,15201,440,24,108830,247.34,4534.58,2.89
PERF000010,AD00031,2023-10-05,74246,1122,99,50321,44.85,508.29,1.51
PERF000011,AD00037,2023-10-31,47971,1331,107,8570,6.44,80.09,2.77
PERF000012,AD00018,2023-09-23,18682,929,43,73975,79.63,1720.35,4.97
PERF000013,AD00011,2023-11-11,56704,739,55,48155,65.16,875.55,1.3
PERF000014,AD00004,2023-07-23,70305,1409,107,130494,92.61,1219.57,2.0
PERF000015,AD00022,2023-07-29,57371,1367,86,106153,77.65,1234.34,2.38
PERF000016,AD00035,2023-06-13,61450,1976,192,171607,86.85,893.79,3.22
PERF000017,AD00011,2023-09-03,35698,1710,44,38532,22.53,875.73,4.79
PERF000018,AD00008,2023-11-19,74071,2799,86,90013,32.16,1046.66,3.78
PERF000019,AD00017,2023-09-01,99621,4901,167,13240,2.7,79.28,4.92
PERF000020,AD00028,2023-08-05,41042,1482,52,127479,86.02,2451.52,3.61
PERF000021,AD00022,2023-07-08,26796,1174,19,41685,35.51,2193.95,4.38
PERF000022,AD00013,2023-07-10,94444,4664,166,145841,31.27,878.56,4.94
PERF000023,AD00040,2023-10-04,90413,4303,327,27247,6.33,83.32,4.76
PERF000024,AD00029,2023-09-21,53185,2157,68,81931,37.98,1204.87,4.06
PERF000025,AD00011,2023-10-04,23245,260,22,150513,578.9,6841.5,1.12
PERF000026,AD00035,2023-09-06,90795,1524,25,129448,84.94,5177.92,1.68
PERF000027,AD00023,2023-06-04,86859,2754,226,22634,8.22,100.15,3.17
PERF000028,AD00039,2023-09-08,33366,1437,47,192369,133.87,4092.96,4.31
PERF000029,AD00013,2023-06-09,51674,1775,144,65173,36.72,452.59,3.43
PERF000030,AD00021,2023-10-18,66934,2890,98,65145,22.54,664.74,4.32
PERF000031,AD00022,2023-07-29,41053,429,37,188502,439.4,5094.65,1.04
PERF000032,AD00007,2023-10-10,10060,388,17,129300,333.25,7605.88,3.86
PERF000033,AD00033,2023-08-13,68395,3159,271,95528,30.24,352.5,4.62
PERF000034,AD00012,2023-08-11,34305,692,48,99231,143.4,2067.31,2.02
PERF000035,AD00017,2023-08-07,57032,692,40,145268,209.92,3631.7,1.21
PERF000036,AD00024,2023-11-24,9645,279,18,123052,441.05,6836.22,2.89
PERF000037,AD00036,2023-06-28,3040,108,7,195323,1808.55,27903.29,3.55
PERF000038,AD00021,2023-08-01,85364,2887,67,124666,43.18,1860.69,3.38
PERF000039,AD00033,2023-10-10,87647,1772,103,106186,59.92,1030.93,2.02
