campaign_id,campaign_name,campaign_type,channel,start_date,end_date,budget,target_segment,status
CMP0001,WINBACK 캠페인 1,WINBACK,PUSH,2023-10-31,2023-11-25,4246448,VIP,COMPLETED
CMP0002,NEWSLETTER 캠페인 2,NEWSLETTER,EMAIL,2023-06-24,2023-07-01,1330821,Premium,COMPLETED
CMP0003,RETENTION 캠페인 3,RETENTION,KAKAO,2023-09-24,2023-10-12,4948040,Basic,COMPLETED
CMP0004,SEASONAL 캠페인 4,SEASONAL,PUSH,2023-07-21,2023-07-28,2614362,ALL,COMPLETED
CMP0005,WINBACK 캠페인 5,WINBACK,PUSH,2023-11-21,2023-12-01,848997,ALL,ACTIVE
CMP0006,WELCOME 캠페인 6,WELCOME,KAKAO,2023-06-03,2023-06-23,1170014,Standard,COMPLETED
CMP0007,WELCOME 캠페인 7,WELCOME,EMAIL,2023-06-16,2023-06-28,107074,ALL,COMPLETED
CMP0008,RETENTION 캠페인 8,RETENTION,EMAIL,2023-08-31,2023-09-04,2073345,Basic,COMPLETED
CMP0009,WINBACK 캠페인 9,WINBACK,PUSH,2023-11-27,2023-12-16,3311072,Basic,ACTIVE
CMP0010,WELCOME 캠페인 10,WELCOME,SMS,2023-09-06,2023-09-20,1554669,Basic,COMPLETED
CMP0011,WELCOME 캠페인 11,WELCOME,KAKAO,2023-07-06,2023-07-13,3122313,Basic,COMPLETED
CMP0012,SEASONAL 캠페인 12,SEASONAL,SMS,2023-07-10,2023-07-20,1226400,VIP,COMPLETED
CMP0013,PROMOTIONAL 캠페인 13,PROMOTIONAL,SMS,2023-06-19,2023-07-10,4182746,Basic,COMPLETED
CMP0014,NEWSLETTER 캠페인 14,NEWSLETTER,KAKAO,2023-07-05,2023-07-08,3925445,ALL,COMPLETED
CMP0015,NEWSLETTER 캠페인 15,NEWSLETTER,KAKAO,2023-09-17,2023-10-07,4373282,Basic,COMPLETED
CMP0016,WINBACK 캠페인 16,WINBACK,KAKAO,2023-10-20,2023-11-16,3080533,Premium,COMPLETED
CMP0017,WELCOME 캠페인 17,WELCOME,EMAIL,2023-07-18,2023-08-01,4948099,Basic,COMPLETED
CMP0018,WELCOME 캠페인 18,WELCOME,PUSH,2023-07-31,2023-08-23,3546357,ALL,COMPLETED
CMP0019,PROMOTIONAL 캠페인 19,PROMOTIONAL,EMAIL,2023-10-26,2023-11-07,4865984,Basic,COMPLETED
CMP0020,PROMOTIONAL 캠페인 20,PROMOTIONAL,KAKAO,2023-11-28,2023-12-10,771618,Premium,ACTIVE
CMP0021,RETENTION 캠페인 21,RETENTION,KAKAO,2023-10-13,2023-11-10,4436487,VIP,COMPLETED
CMP0022,WELCOME 캠페인 22,WELCOME,EMAIL,2023-10-12,2023-11-10,2157149,Basic,COMPLETED
CMP0023,SEASONAL 캠페인 23,SEASONAL,EMAIL,2023-11-09,2023-12-03,4623114,ALL,ACTIVE
CMP0024,PROMOTIONAL 캠페인 24,PROMOTIONAL,PUSH,2023-08-19,2023-09-08,4588184,VIP,COMPLETED
CMP0025,WELCOME 캠페인 25,WELCOME,KAKAO,2023-09-29,2023-10-14,4914769,Standard,COMPLETED
CMP0026,RETENTION 캠페인 26,RETENTION,PUSH,2023-09-16,2023-09-28,1505160,VIP,COMPLETED
CMP0027,WELCOME 캠페인 27,WELCOME,PUSH,2023-11-25,2023-12-25,4828710,Standard,ACTIVE
CMP0028,WINBACK 캠페인 28,WINBACK,SMS,2023-06-16,2023-07-07,4905497,VIP,COMPLETED
CMP0029,SEASONAL 캠페인 29,SEASONAL,EMAIL,2023-11-16,2023-11-26,2505984,Basic,COMPLETED
CMP0030,WELCOME 캠페인 30,WELCOME,EMAIL,2023-06-22,2023-06-27,2430764,Standard,COMPLETED
