conv_id,order_ref,attributed_ad_id,attributed_cmp_id,conv_time,conv_value,conv_type
CONV000001,ORD000421,AD00034,,2023-11-26 00:00:00,283561,SIGNUP
CONV000002,,,CMP0009,2023-11-02 00:00:00,478783,SIGNUP
CONV000003,,,,2023-11-14 00:00:00,364332,LEAD
CONV000004,ORD000401,,,2023-08-22 00:00:00,228674,PURCHASE
CONV000005,ORD000231,AD00036,,2023-10-17 00:00:00,129463,LEAD
CONV000006,ORD000081,,CMP0004,2023-09-10 00:00:00,313721,LEAD
CONV000007,ORD000357,,CMP0005,2023-11-13 00:00:00,446511,PURCHASE
CONV000008,ORD000379,,,2023-11-09 00:00:00,329774,LEAD
CONV000009,,AD00011,,2023-07-11 00:00:00,497787,PURCHASE
CONV000010,ORD000172,AD00024,,2023-07-17 00:00:00,26294,PURCHASE
CONV000011,ORD000187,,CMP0007,2023-06-19 00:00:00,496633,PURCHASE
CONV000012,ORD000305,,,2023-11-21 00:00:00,44900,SIGNUP
CONV000013,ORD000452,,CMP0016,2023-06-12 00:00:00,106254,PURCHASE
CONV000014,ORD000453,,CMP0002,2023-06-29 00:00:00,105909,LEAD
CONV000015,ORD000020,,,2023-06-26 00:00:00,357648,SIGNUP
CONV000016,ORD000244,AD00037,,2023-11-26 00:00:00,371369,PURCHASE
CONV000017,ORD000004,,,2023-11-11 00:00:00,404168,LEAD
CONV000018,ORD000354,AD00022,,2023-07-25 00:00:00,440350,PURCHASE
CONV000019,,,CMP0009,2023-07-26 00:00:00,421124,LEAD
CONV000020,,,CMP0003,2023-08-20 00:00:00,159253,LEAD
CONV000021,ORD000331,,CMP0021,2023-06-15 00:00:00,480763,LEAD
CONV000022,ORD000343,AD00031,,2023-07-07 00:00:00,289465,PURCHASE
CONV000023,,,CMP0020,2023-07-31 00:00:00,354346,LEAD
CONV000024,ORD000009,,CMP0024,2023-07-22 00:00:00,158390,LEAD
CONV000025,ORD000494,AD00014,,2023-07-13 00:00:00,69378,SIGNUP
CONV000026,ORD000016,AD00039,,2023-07-25 00:00:00,103296,SIGNUP
CONV000027,ORD000419,AD00023,,2023-07-18 00:00:00,382977,SIGNUP
CONV000028,ORD000273,AD00003,,2023-07-12 00:00:00,56272,PURCHASE
CONV000029,ORD000333,,CMP0010,2023-07-13 00:00:00,287417,LEAD
CONV000030,ORD000297,,CMP0024,2023-06-22 00:00:00,220182,SIGNUP
CONV000031,ORD000091,,,2023-09-28 00:00:00,426633,LEAD
CONV000032,ORD000105,,CMP0011,2023-06-25 00:00:00,184636,PURCHASE
CONV000033,ORD000197,,CMP0008,2023-06-05 00:00:00,99460,PURCHASE
CONV000034,ORD000438,AD00031,,2023-11-23 00:00:00,433058,SIGNUP
CONV000035,ORD000022,AD00001,,2023-09-01 00:00:00,425205,PURCHASE
CONV000036,ORD000402,AD00005,,2023-06-16 00:00:00,358516,SIGNUP
CONV000037,ORD000247,,CMP0009,2023-10-07 00:00:00,177724,PURCHASE
CONV000038,ORD000316,,CMP0008,2023-10-06 00:00:00,274350,SIGNUP
CONV000039,ORD000467,,,2023-10-22 00:00:00,353435,LEAD
CONV000040,ORD000023,,CMP0022,2023-08-15 00:00:00,445566,PURCHASE
CONV000041,ORD000393,AD00021,,2023-06-02 00:00:00,54150,SIGNUP
CONV000042,,,CMP0020,2023-09-22 00:00:00,137074,LEAD
CONV000043,ORD000148,,CMP0023,2023-10-19 00:00:00,485935,PURCHASE
CONV000044,ORD000273,AD00011,,2023-06-17 00:00:00,443280,PURCHASE
CONV000045,ORD000325,,,2023-10-15 00:00:00,26270,PURCHASE
CONV000046,,,CMP0006,2023-08-17 00:00:00,31735,SIGNUP
CONV000047,ORD000060,,,2023-08-09 00:00:00,458717,SIGNUP
CONV000048,,,CMP0022,2023-09-09 00:00:00,152352,LEAD
CONV000049,ORD000335,,,2023-10-21 00:00:00,222619,PURCHASE
CONV000050,ORD000075,AD00017,,2023-06-15 00:00:00,244792,LEAD
CONV000051,ORD000023,AD00020,,2023-10-18 00:00:00,369000,PURCHASE
CONV000052,,,,2023-07-01 00:00:00,312802,PURCHASE
CONV000053,,AD00018,,2023-08-25 00:00:00,376320,SIGNUP
CONV000054,ORD000309,,CMP0003,2023-10-28 00:00:00,461155,SIGNUP
CONV000055,ORD000434,AD00002,,2023-06-25 00:00:00,263723,PURCHASE
CONV000056,ORD000078,,CMP0003,2023-10-02 00:00:00,466131,SIGNUP
CONV000057,ORD000039,AD00010,,2023-11-18 00:00:00,117812,LEAD
CONV000058,ORD000267,,CMP0017,2023-07-12 00:00:00,240911,SIGNUP
CONV000059,ORD000247,,,2023-06-16 00:00:00,333626,SIGNUP
CONV000060,ORD000495,,CMP0017,2023-10-23 00:00:00,301309,SIGNUP
CONV000061,ORD000273,,CMP0015,2023-07-14 00:00:00,334743,LEAD
CONV000062,,AD00022,,2023-11-27 00:00:00,257777,LEAD
CONV000063,ORD000128,,CMP0029,2023-11-04 00:00:00,137233,LEAD
