event_id,email_send_id,event_type,event_time,device,link_url
EVT000001,ES000002,OPEN,2023-06-29 19:00:00,DESKTOP,
EVT000002,ES000006,OPEN,2023-09-16 08:00:00,TABLET,
EVT000003,ES000012,OPEN,2023-08-15 12:00:00,MOBILE,
EVT000004,ES000017,OPEN,2023-11-21 04:00:00,DESKTOP,
EVT000005,ES000017,CLICK,2023-11-21 04:24:00,DESKTOP,https://shop.example.com/promo/93
EVT000006,ES000022,OPEN,2023-06-09 00:00:00,DESKTOP,
EVT000007,ES000026,OPEN,2023-06-22 09:00:00,MOBILE,
EVT000008,ES000036,OPEN,2023-09-08 15:00:00,DESKTOP,
EVT000009,ES000036,CLICK,2023-09-08 15:07:00,DESKTOP,https://shop.example.com/promo/95
EVT000010,ES000038,OPEN,2023-09-21 16:00:00,TABLET,
EVT000011,ES000038,CLICK,2023-09-21 16:25:00,MOBILE,https://shop.example.com/promo/16
EVT000012,ES000045,OPEN,2023-11-11 11:00:00,TABLET,
EVT000013,ES000050,OPEN,2023-08-26 15:00:00,MOBILE,
EVT000014,ES000055,OPEN,2023-07-17 06:00:00,DESKTOP,
EVT000015,ES000055,CLICK,2023-07-17 06:23:00,MOBILE,https://shop.example.com/promo/28
EVT000016,ES000056,OPEN,2023-09-27 12:00:00,DESKTOP,
EVT000017,ES000056,CLICK,2023-09-27 12:16:00,DESKTOP,https://shop.example.com/promo/60
EVT000018,ES000060,OPEN,2023-07-26 00:00:00,DESKTOP,
EVT000019,ES000062,OPEN,2023-11-27 06:00:00,MOBILE,
EVT000020,ES000064,OPEN,2023-07-13 04:00:00,DESKTOP,
EVT000021,ES000067,OPEN,2023-07-04 23:00:00,DESKTOP,
EVT000022,ES000073,OPEN,2023-07-28 14:00:00,DESKTOP,
EVT000023,ES000086,OPEN,2023-07-07 10:00:00,DESKTOP,
EVT000024,ES000089,OPEN,2023-07-15 12:00:00,MOBILE,
EVT000025,ES000094,OPEN,2023-08-23 16:00:00,DESKTOP,
EVT000026,ES000102,OPEN,2023-07-08 07:00:00,MOBILE,
EVT000027,ES000129,OPEN,2023-10-17 10:00:00,TABLET,
EVT000028,ES000132,OPEN,2023-08-08 05:00:00,TABLET,
EVT000029,ES000137,OPEN,2023-10-18 16:00:00,TABLET,
EVT000030,ES000146,OPEN,2023-10-06 05:00:00,MOBILE,
EVT000031,ES000147,OPEN,2023-11-18 14:00:00,MOBILE,
EVT000032,ES000147,CLICK,2023-11-18 14:07:00,MOBILE,https://shop.example.com/promo/100
EVT000033,ES000149,OPEN,2023-08-19 19:00:00,MOBILE,
EVT000034,ES000156,OPEN,2023-10-22 18:00:00,TABLET,
EVT000035,ES000159,OPEN,2023-09-28 18:00:00,MOBILE,
EVT000036,ES000177,OPEN,2023-07-28 03:00:00,TABLET,
EVT000037,ES000177,CLICK,2023-07-28 03:08:00,TABLET,https://shop.example.com/promo/92
EVT000038,ES000179,OPEN,2023-07-01 14:00:00,TABLET,
EVT000039,ES000187,OPEN,2023-07-23 04:00:00,MOBILE,
EVT000040,ES000189,OPEN,2023-06-18 20:00:00,DESKTOP,
EVT000041,ES000189,CLICK,2023-06-18 20:06:00,DESKTOP,https://shop.example.com/promo/36
EVT000042,ES000194,OPEN,2023-10-29 09:00:00,MOBILE,
EVT000043,ES000199,OPEN,2023-09-14 03:00:00,TABLET,
EVT000044,ES000200,OPEN,2023-09-28 18:00:00,MOBILE,
EVT000045,ES000200,CLICK,2023-09-28 18:16:00,MOBILE,https://shop.example.com/promo/1
EVT000046,ES000204,OPEN,2023-10-21 14:00:00,MOBILE,
EVT000047,ES000205,OPEN,2023-06-20 15:00:00,TABLET,
EVT000048,ES000206,OPEN,2023-06-05 22:00:00,TABLET,
EVT000049,ES000207,OPEN,2023-09-22 02:00:00,MOBILE,
EVT000050,ES000207,CLICK,2023-09-22 02:20:00,TABLET,https://shop.example.com/promo/4
EVT000051,ES000211,OPEN,2023-07-31 23:00:00,TABLET,
EVT000052,ES000214,OPEN,2023-10-10 15:00:00,TABLET,
EVT000053,ES000215,OPEN,2023-07-02 17:00:00,DESKTOP,
EVT000054,ES000219,OPEN,2023-11-07 17:00:00,MOBILE,
EVT000055,ES000219,CLICK,2023-11-07 17:03:00,TABLET,https://shop.example.com/promo/24
EVT000056,ES000225,OPEN,2023-08-19 13:00:00,MOBILE,
EVT000057,ES000226,OPEN,2023-08-19 21:00:00,MOBILE,
EVT000058,ES000226,CLICK,2023-08-19 21:10:00,MOBILE,https://shop.example.com/promo/96
EVT000059,ES000228,OPEN,2023-09-29 18:00:00,TABLET,
EVT000060,ES000229,OPEN,2023-06-17 08:00:00,DESKTOP,
EVT000061,ES000230,OPEN,2023-11-21 21:00:00,DESKTOP,
EVT000062,ES000233,OPEN,2023-11-09 19:00:00,DESKTOP,
EVT000063,ES000234,OPEN,2023-09-01 14:00:00,TABLET,
EVT000064,ES000237,OPEN,2023-10-16 21:00:00,TABLET,
EVT000065,ES000237,CLICK,2023-10-16 21:25:00,MOBILE,https://shop.example.com/promo/62
EVT000066,ES000241,OPEN,2023-11-22 11:00:00,DESKTOP,
EVT000067,ES000243,OPEN,2023-09-21 03:00:00,DESKTOP,
EVT000068,ES000243,CLICK,2023-09-21 03:14:00,MOBILE,https://shop.example.com/promo/42
EVT000069,ES000245,OPEN,2023-09-13 14:00:00,TABLET,
EVT000070,ES000250,OPEN,2023-09-17 05:00:00,TABLET,
EVT000071,ES000254,OPEN,2023-10-17 10:00:00,TABLET,
EVT000072,ES000254,CLICK,2023-10-17 10:25:00,MOBILE,https://shop.example.com/promo/56
EVT000073,ES000261,OPEN,2023-08-20 08:00:00,DESKTOP,
EVT000074,ES000261,CLICK,2023-08-20 08:21:00,DESKTOP,https://shop.example.com/promo/39
EVT000075,ES000275,OPEN,2023-10-19 11:00:00,MOBILE,
EVT000076,ES000282,OPEN,2023-06-26 12:00:00,DESKTOP,
EVT000077,ES000285,OPEN,2023-09-15 09:00:00,MOBILE,
EVT000078,ES000297,OPEN,2023-11-06 14:00:00,DESKTOP,
EVT000079,ES000297,CLICK,2023-11-06 14:22:00,DESKTOP,https://shop.example.com/promo/92
EVT000080,ES000302,OPEN,2023-10-07 07:00:00,TABLET,
EVT000081,ES000304,OPEN,2023-09-21 03:00:00,DESKTOP,
EVT000082,ES000304,CLICK,2023-09-21 03:21:00,DESKTOP,https://shop.example.com/promo/48
EVT000083,ES000305,OPEN,2023-11-22 17:00:00,TABLET,
EVT000084,ES000305,CLICK,2023-11-22 17:19:00,DESKTOP,https://shop.example.com/promo/69
EVT000085,ES000309,OPEN,2023-09-11 01:00:00,DESKTOP,
EVT000086,ES000311,OPEN,2023-10-21 20:00:00,DESKTOP,
EVT000087,ES000318,OPEN,2023-06-12 13:00:00,DESKTOP,
EVT000088,ES000320,OPEN,2023-08-08 19:00:00,DESKTOP,
EVT000089,ES000322,OPEN,2023-11-11 03:00:00,DESKTOP,
EVT000090,ES000324,OPEN,2023-07-12 23:00:00,DESKTOP,
EVT000091,ES000324,CLICK,2023-07-12 23:18:00,DESKTOP,https://shop.example.com/promo/17
EVT000092,ES000328,OPEN,2023-07-16 13:00:00,TABLET,
EVT000093,ES000328,CLICK,2023-07-16 13:04:00,DESKTOP,https://shop.example.com/promo/80
EVT000094,ES000331,OPEN,2023-10-07 08:00:00,TABLET,
EVT000095,ES000337,OPEN,2023-10-24 11:00:00,TABLET,
EVT000096,ES000339,OPEN,2023-11-03 14:00:00,MOBILE,
EVT000097,ES000340,OPEN,2023-08-02 06:00:00,MOBILE,
EVT000098,ES000345,OPEN,2023-10-11 02:00:00,DESKTOP,
EVT000099,ES000345,CLICK,2023-10-11 02:15:00,TABLET,https://shop.example.com/promo/22
EVT000100,ES000349,OPEN,2023-09-29 12:00:00,DESKTOP,
EVT000101,ES000353,OPEN,2023-10-12 19:00:00,DESKTOP,
EVT000102,ES000378,OPEN,2023-06-17 12:00:00,DESKTOP,
EVT000103,ES000379,OPEN,2023-06-18 06:00:00,MOBILE,
EVT000104,ES000385,OPEN,2023-09-10 11:00:00,MOBILE,
EVT000105,ES000391,OPEN,2023-06-10 12:00:00,DESKTOP,
EVT000106,ES000391,CLICK,2023-06-10 12:12:00,DESKTOP,https://shop.example.com/promo/62
EVT000107,ES000392,OPEN,2023-11-07 01:00:00,TABLET,
EVT000108,ES000399,OPEN,2023-10-09 01:00:00,MOBILE,
EVT000109,ES000405,OPEN,2023-07-29 19:00:00,DESKTOP,
EVT000110,ES000405,CLICK,2023-07-29 19:30:00,MOBILE,https://shop.example.com/promo/30
EVT000111,ES000407,OPEN,2023-09-22 14:00:00,MOBILE,
EVT000112,ES000418,OPEN,2023-10-17 13:00:00,MOBILE,
EVT000113,ES000419,OPEN,2023-08-19 22:00:00,DESKTOP,
EVT000114,ES000420,OPEN,2023-06-09 03:00:00,DESKTOP,
EVT000115,ES000422,OPEN,2023-06-17 23:00:00,MOBILE,
EVT000116,ES000422,CLICK,2023-06-17 23:01:00,DESKTOP,https://shop.example.com/promo/22
EVT000117,ES000425,OPEN,2023-08-02 04:00:00,MOBILE,
EVT000118,ES000426,OPEN,2023-07-31 19:00:00,MOBILE,
EVT000119,ES000427,OPEN,2023-09-07 06:00:00,DESKTOP,
EVT000120,ES000429,OPEN,2023-06-26 21:00:00,TABLET,
EVT000121,ES000429,CLICK,2023-06-26 21:08:00,MOBILE,https://shop.example.com/promo/82
EVT000122,ES000431,OPEN,2023-07-26 15:00:00,MOBILE,
EVT000123,ES000431,CLICK,2023-07-26 15:15:00,TABLET,https://shop.example.com/promo/63
EVT000124,ES000450,OPEN,2023-09-12 03:00:00,DESKTOP,
EVT000125,ES000451,OPEN,2023-08-12 20:00:00,DESKTOP,
EVT000126,ES000454,OPEN,2023-11-06 17:00:00,MOBILE,
EVT000127,ES000457,OPEN,2023-08-12 09:00:00,TABLET,
EVT000128,ES000457,CLICK,2023-08-12 09:26:00,DESKTOP,https://shop.example.com/promo/51
EVT000129,ES000458,OPEN,2023-10-15 18:00:00,MOBILE,
EVT000130,ES000463,OPEN,2023-11-21 18:00:00,DESKTOP,
EVT000131,ES000464,OPEN,2023-06-08 04:00:00,TABLET,
EVT000132,ES000466,OPEN,2023-09-06 14:00:00,DESKTOP,
EVT000133,ES000469,OPEN,2023-08-22 09:00:00,DESKTOP,
EVT000134,ES000471,OPEN,2023-10-21 23:00:00,MOBILE,
EVT000135,ES000472,OPEN,2023-10-23 02:00:00,MOBILE,
EVT000136,ES000472,CLICK,2023-10-23 02:04:00,MOBILE,https://shop.example.com/promo/96
EVT000137,ES000476,OPEN,2023-06-11 21:00:00,TABLET,
EVT000138,ES000477,OPEN,2023-07-14 09:00:00,DESKTOP,
EVT000139,ES000481,OPEN,2023-06-24 23:00:00,TABLET,
EVT000140,ES000481,CLICK,2023-06-24 23:15:00,DESKTOP,https://shop.example.com/promo/56
EVT000141,ES000483,OPEN,2023-10-10 07:00:00,TABLET,
EVT000142,ES000486,OPEN,2023-08-25 08:00:00,DESKTOP,
EVT000143,ES000490,OPEN,2023-06-09 06:00:00,MOBILE,
EVT000144,ES000492,OPEN,2023-11-26 10:00:00,DESKTOP,
EVT000145,ES000492,CLICK,2023-11-26 10:05:00,MOBILE,https://shop.example.com/promo/54
EVT000146,ES000497,OPEN,2023-11-30 04:00:00,TABLET,
