send_id,cmp_id,cust_no,send_time,email_subject,status
ES000001,CMP0008,CUST000158,2023-08-11 12:00:00,[프로모션] 특별 할인 안내 #1,DELIVERED
ES000002,CMP0002,CUST000190,2023-06-29 17:00:00,[프로모션] 특별 할인 안내 #2,DELIVERED
ES000003,CMP0008,CUST000169,2023-09-23 13:00:00,[프로모션] 특별 할인 안내 #3,DELIVERED
ES000004,CMP0019,CUST000180,2023-07-31 15:00:00,[프로모션] 특별 할인 안내 #4,DELIVERED
ES000005,CMP0030,CUST000009,2023-08-27 09:00:00,[프로모션] 특별 할인 안내 #5,BOUNCED
ES000006,CMP0008,CUST000127,2023-09-14 20:00:00,[프로모션] 특별 할인 안내 #6,DELIVERED
ES000007,CMP0029,CUST000186,2023-11-11 10:00:00,[프로모션] 특별 할인 안내 #7,DELIVERED
ES000008,CMP0022,CUST000014,2023-11-12 12:00:00,[프로모션] 특별 할인 안내 #8,DELIVERED
ES000009,CMP0007,CUST000014,2023-07-13 15:00:00,[프로모션] 특별 할인 안내 #9,DELIVERED
ES000010,CMP0019,CUST000122,2023-10-15 11:00:00,[프로모션] 특별 할인 안내 #10,DELIVERED
ES000011,CMP0023,CUST000122,2023-08-07 10:00:00,[프로모션] 특별 할인 안내 #11,DELIVERED
ES000012,CMP0023,CUST000004,2023-08-13 20:00:00,[프로모션] 특별 할인 안내 #12,DELIVERED
ES000013,CMP0022,CUST000136,2023-11-22 08:00:00,[프로모션] 특별 할인 안내 #13,DELIVERED
ES000014,CMP0030,CUST000164,2023-08-30 14:00:00,[프로모션] 특별 할인 안내 #14,DELIVERED
ES000015,CMP0019,CUST000086,2023-08-09 12:00:00,[프로모션] 특별 할인 안내 #15,DELIVERED
ES000016,CMP0019,CUST000168,2023-10-28 14:00:00,[프로모션] 특별 할인 안내 #16,DELIVERED
ES000017,CMP0017,CUST000188,2023-11-20 17:00:00,[프로모션] 특별 할인 안내 #17,DELIVERED
ES000018,CMP0030,CUST000087,2023-11-21 19:00:00,[프로모션] 특별 할인 안내 #18,FAILED
ES000019,CMP0022,CUST000141,2023-06-03 18:00:00,[프로모션] 특별 할인 안내 #19,DELIVERED
ES000020,CMP0007,CUST000004,2023-09-14 09:00:00,[프로모션] 특별 할인 안내 #20,DELIVERED
ES000021,CMP0029,CUST000090,2023-07-27 19:00:00,[프로모션] 특별 할인 안내 #21,DELIVERED
ES000022,CMP0017,CUST000009,2023-06-07 17:00:00,[프로모션] 특별 할인 안내 #22,DELIVERED
ES000023,CMP0017,CUST000154,2023-11-11 09:00:00,[프로모션] 특별 할인 안내 #23,DELIVERED
ES000024,CMP0007,CUST000023,2023-11-02 10:00:00,[프로모션] 특별 할인 안내 #24,DELIVERED
ES000025,CMP0008,CUST000029,2023-11-26 10:00:00,[프로모션] 특별 할인 안내 #25,DELIVERED
ES000026,CMP0029,CUST000170,2023-06-20 18:00:00,[프로모션] 특별 할인 안내 #26,DELIVERED
ES000027,CMP0019,CUST000197,2023-09-18 19:00:00,[프로모션] 특별 할인 안내 #27,DELIVERED
ES000028,CMP0022,CUST000066,2023-07-12 20:00:00,[프로모션] 특별 할인 안내 #28,DELIVERED
ES000029,CMP0002,CUST000098,2023-09-08 13:00:00,[프로모션] 특별 할인 안내 #29,FAILED
ES000030,CMP0019,CUST000068,2023-07-16 15:00:00,[프로모션] 특별 할인 안내 #30,DELIVERED
ES000031,CMP0017,CUST000157,2023-09-09 10:00:00,[프로모션] 특별 할인 안내 #31,DELIVERED
ES000032,CMP0007,CUST000037,2023-10-17 20:00:00,[프로모션] 특별 할인 안내 #32,DELIVERED
ES000033,CMP0007,CUST000114,2023-08-06 09:00:00,[프로모션] 특별 할인 안내 #33,DELIVERED
ES000034,CMP0007,CUST000147,2023-08-04 20:00:00,[프로모션] 특별 할인 안내 #34,DELIVERED
ES000035,CMP0029,CUST000039,2023-11-15 18:00:00,[프로모션] 특별 할인 안내 #35,DELIVERED
ES000036,CMP0002,CUST000171,2023-09-08 12:00:00,[프로모션] 특별 할인 안내 #36,DELIVERED
ES000037,CMP0022,CUST000101,2023-10-26 08:00:00,[프로모션] 특별 할인 안내 #37,DELIVERED
ES000038,CMP0029,CUST000123,2023-09-20 14:00:00,[프로모션] 특별 할인 안내 #38,DELIVERED
ES000039,CMP0007,CUST000139,2023-07-28 08:00:00,[프로모션] 특별 할인 안내 #39,DELIVERED
ES000040,CMP0029,CUST000032,2023-10-24 16:00:00,[프로모션] 특별 할인 안내 #40,BOUNCED
ES000041,CMP0022,CUST000086,2023-11-22 12:00:00,[프로모션] 특별 할인 안내 #41,DELIVERED
ES000042,CMP0007,CUST000094,2023-10-15 13:00:00,[프로모션] 특별 할인 안내 #42,DELIVERED
ES000043,CMP0029,CUST000195,2023-08-14 18:00:00,[프로모션] 특별 할인 안내 #43,DELIVERED
ES000044,CMP0030,CUST000011,2023-09-07 18:00:00,[프로모션] 특별 할인 안내 #44,DELIVERED
ES000045,CMP0023,CUST000028,2023-11-09 19:00:00,[프로모션] 특별 할인 안내 #45,DELIVERED
ES000046,CMP0007,CUST000162,2023-09-21 19:00:00,[프로모션] 특별 할인 안내 #46,DELIVERED
