order_id,buyer_id,prod_code,order_date,quantity,unit_price,discount_rate,total_amount,status,channel
ORD000001,CUST000011,PROD0036,2023-11-30,4,493697,0.0,1974788,COMPLETED,APP
ORD000002,CUST000093,PROD0018,2023-06-20,5,37151,0.0,185755,COMPLETED,CALL
ORD000003,CUST000015,PROD0012,2023-07-28,5,444290,0.0,2221450,REFUNDED,WEB
ORD000004,CUST000136,PROD0019,2023-12-16,3,353663,0.0,1060989,COMPLETED,APP
ORD000005,CUST000003,PROD0024,2023-07-22,3,346370,0.1,935199,SHIPPED,CALL
ORD000006,CUST000184,PROD0016,2023-09-27,3,472499,0.1,1275747,REFUNDED,WEB
ORD000007,CUST000159,PROD0049,2023-08-02,2,388944,0.0,777888,CANCELLED,WEB
ORD000008,CUST000066,PROD0035,2023-08-28,1,413894,0.0,413894,COMPLETED,CALL
ORD000009,CUST000110,PROD0048,2023-12-04,3,97493,0.0,292479,COMPLETED,WEB
ORD000010,CUST000123,PROD0032,2023-06-16,2,269463,0.15,458087,COMPLETED,WEB
ORD000011,CUST000066,PROD0034,2023-09-14,3,461314,0.05,1314744,REFUNDED,WEB
ORD000012,CUST000171,PROD0007,2023-10-08,2,246973,0.15,419854,SHIPPED,WEB
ORD000013,CUST000175,PROD0037,2023-06-16,4,272693,0.15,927156,REFUNDED,WEB
ORD000014,CUST000084,PROD0017,2023-08-20,4,353192,0.15,1200852,SHIPPED,APP
ORD000015,CUST000093,PROD0029,2023-08-09,2,325096,0.0,650192,CANCELLED,WEB
ORD000016,CUST000173,PROD0007,2023-07-10,1,246973,0.0,246973,COMPLETED,APP
ORD000017,CUST000119,PROD0008,2023-10-16,3,403112,0.2,967468,COMPLETED,APP
ORD000018,CUST000135,PROD0017,2023-07-01,1,353192,0.0,353192,SHIPPED,APP
ORD000019,CUST000179,PROD0003,2023-07-26,3,459847,0.0,1379541,COMPLETED,WEB
ORD000020,CUST000105,PROD0026,2023-10-10,1,492289,0.15,418445,COMPLETED,WEB
ORD000021,CUST000009,PROD0026,2023-09-24,5,492289,0.15,2092228,COMPLETED,WEB
ORD000022,CUST000135,PROD0007,2023-07-06,1,246973,0.0,246973,COMPLETED,WEB
ORD000023,CUST000038,PROD0013,2023-09-11,3,423298,0.15,1079409,COMPLETED,CALL
ORD000024,CUST000025,PROD0038,2023-10-29,3,291886,0.2,700526,COMPLETED,WEB
ORD000025,CUST000057,PROD0042,2023-09-22,2,38850,0.0,77700,CANCELLED,APP
ORD000026,CUST000036,PROD0003,2023-09-27,1,459847,0.0,459847,CANCELLED,APP
ORD000027,CUST000116,PROD0032,2023-06-08,4,269463,0.15,916174,COMPLETED,APP
ORD000028,CUST000061,PROD0012,2023-08-10,3,444290,0.05,1266226,PROCESSING,WEB
ORD000029,CUST000182,PROD0040,2023-11-05,2,367069,0.15,624017,COMPLETED,APP
ORD000030,CUST000160,PROD0031,2023-06-16,1,108905,0.0,108905,COMPLETED,APP
ORD000031,CUST000058,PROD0042,2023-10-13,2,38850,0.15,66045,REFUNDED,CALL
ORD000032,CUST000005,PROD0025,2023-12-18,3,350797,0.05,999771,COMPLETED,APP
ORD000033,CUST000102,PROD0037,2023-10-07,3,272693,0.05,777175,COMPLETED,WEB
ORD000034,CUST000093,PROD0039,2023-07-27,1,433656,0.2,346924,SHIPPED,WEB
ORD000035,CUST000137,PROD0034,2023-08-31,5,461314,0.0,2306570,REFUNDED,WEB
ORD000036,CUST000071,PROD0043,2023-08-01,3,381143,0.1,1029086,SHIPPED,CALL
ORD000037,CUST000016,PROD0049,2023-07-27,5,388944,0.2,1555776,REFUNDED,APP
ORD000038,CUST000104,PROD0012,2023-07-16,2,444290,0.1,799722,COMPLETED,CALL
ORD000039,CUST000105,PROD0038,2023-06-08,3,291886,0.1,788092,COMPLETED,CALL
ORD000040,CUST000055,PROD0032,2023-10-17,3,269463,0.0,808389,COMPLETED,WEB
ORD000041,CUST000016,PROD0015,2023-11-02,2,249346,0.0,498692,COMPLETED,WEB
ORD000042,CUST000097,PROD0040,2023-07-22,2,367069,0.0,734138,SHIPPED,APP
ORD000043,CUST000019,PROD0002,2023-07-08,5,292469,0.15,1242993,CANCELLED,WEB
ORD000044,CUST000152,PROD0024,2023-06-19,3,346370,0.15,883243,CANCELLED,APP
ORD000045,CUST000174,PROD0007,2023-08-26,3,246973,0.0,740919,COMPLETED,WEB
ORD000046,CUST000128,PROD0041,2023-10-03,3,40359,0.0,121077,SHIPPED,CALL
ORD000047,CUST000182,PROD0023,2023-07-28,5,471891,0.2,1887564,COMPLETED,APP
ORD000048,CUST000085,PROD0009,2023-07-16,1,181593,0.15,154354,CANCELLED,APP
ORD000049,CUST000167,PROD0003,2023-07-17,5,459847,0.0,2299235,CANCELLED,CALL
ORD000050,CUST000063,PROD0041,2023-10-23,1,40359,0.05,38341,COMPLETED,CALL
ORD000051,CUST000023,PROD0016,2023-08-28,3,472499,0.0,1417497,COMPLETED,WEB
ORD000052,CUST000196,PROD0041,2023-12-04,3,40359,0.05,115023,COMPLETED,WEB
ORD000053,CUST000071,PROD0045,2023-06-18,3,419533,0.0,1258599,SHIPPED,CALL
ORD000054,CUST000001,PROD0004,2023-09-07,4,491699,0.15,1671776,COMPLETED,WEB
ORD000055,CUST000120,PROD0032,2023-09-05,3,269463,0.1,727550,COMPLETED,APP
ORD000056,CUST000170,PROD0042,2023-12-12,2,38850,0.0,77700,COMPLETED,WEB
ORD000057,CUST000085,PROD0002,2023-08-21,3,292469,0.0,877407,COMPLETED,WEB
ORD000058,CUST000110,PROD0011,2023-12-05,1,218517,0.1,196665,CANCELLED,WEB
ORD000059,CUST000100,PROD0039,2023-11-05,4,433656,0.15,1474430,COMPLETED,CALL
ORD000060,CUST000049,PROD0039,2023-09-20,2,433656,0.0,867312,COMPLETED,WEB
ORD000061,CUST000055,PROD0027,2023-11-26,5,83407,0.15,354479,CANCELLED,CALL
ORD000062,CUST000075,PROD0043,2023-08-12,3,381143,0.0,1143429,COMPLETED,APP
ORD000063,CUST000169,PROD0036,2023-10-04,2,493697,0.0,987394,COMPLETED,APP
ORD000064,CUST000026,PROD0019,2023-11-17,5,353663,0.05,1679899,COMPLETED,WEB
ORD000065,CUST000059,PROD0011,2023-11-11,3,218517,0.0,655551,COMPLETED,WEB
ORD000066,CUST000089,PROD0026,2023-09-29,4,492289,0.15,1673782,COMPLETED,CALL
ORD000067,CUST000159,PROD0025,2023-07-18,3,350797,0.05,999771,COMPLETED,APP
ORD000068,CUST000013,PROD0017,2023-09-21,4,353192,0.0,1412768,COMPLETED,APP
ORD000069,CUST000166,PROD0004,2023-07-09,1,491699,0.0,491699,COMPLETED,CALL
ORD000070,CUST000120,PROD0049,2023-10-29,2,388944,0.1,700099,COMPLETED,APP
ORD000071,CUST000151,PROD0027,2023-10-16,4,83407,0.1,300265,PROCESSING,APP
ORD000072,CUST000086,PROD0006,2023-09-10,1,215888,0.1,194299,COMPLETED,CALL
ORD000073,CUST000169,PROD0044,2023-11-06,2,281173,0.0,562346,CANCELLED,APP
ORD000074,CUST000051,PROD0011,2023-07-25,2,218517,0.0,437034,COMPLETED,WEB
ORD000075,CUST000200,PROD0028,2023-07-22,2,174890,0.2,279824,COMPLETED,APP
ORD000076,CUST000021,PROD0006,2023-09-08,5,215888,0.05,1025468,COMPLETED,APP
ORD000077,CUST000151,PROD0030,2023-06-04,5,454539,0.1,2045425,COMPLETED,APP
ORD000078,CUST000033,PROD0027,2023-07-09,2,83407,0.1,150132,COMPLETED,WEB
ORD000079,CUST000032,PROD0037,2023-12-17,1,272693,0.2,218154,COMPLETED,CALL
ORD000080,CUST000102,PROD0027,2023-08-07,4,83407,0.15,283583,COMPLETED,CALL
ORD000081,CUST000138,PROD0003,2023-07-15,3,459847,0.05,1310563,COMPLETED,CALL
ORD000082,CUST000200,PROD0045,2023-09-11,1,419533,0.05,398556,PROCESSING,APP
ORD000083,CUST000067,PROD0004,2023-12-08,4,491699,0.0,1966796,PROCESSING,WEB
ORD000084,CUST000100,PROD0020,2023-08-19,3,321259,0.2,771021,COMPLETED,CALL
ORD000085,CUST000030,PROD0015,2023-07-05,3,249346,0.15,635832,COMPLETED,APP
ORD000086,CUST000076,PROD0047,2023-09-15,5,339007,0.15,1440779,COMPLETED,APP
ORD000087,CUST000061,PROD0027,2023-12-07,4,83407,0.2,266902,COMPLETED,APP
ORD000088,CUST000016,PROD0033,2023-07-11,1,475947,0.0,475947,SHIPPED,APP
ORD000089,CUST000040,PROD0050,2023-10-13,5,138215,0.0,691075,COMPLETED,WEB
ORD000090,CUST000016,PROD0016,2023-06-09,4,472499,0.0,1889996,CANCELLED,CALL
ORD000091,CUST000057,PROD0018,2023-09-03,4,37151,0.1,133743,COMPLETED,WEB
ORD000092,CUST000200,PROD0002,2023-08-01,3,292469,0.05,833536,COMPLETED,WEB
ORD000093,CUST000138,PROD0038,2023-10-20,3,291886,0.0,875658,COMPLETED,APP
ORD000094,CUST000028,PROD0019,2023-06-08,4,353663,0.0,1414652,COMPLETED,CALL
ORD000095,CUST000061,PROD0015,2023-11-13,2,249346,0.15,423888,COMPLETED,CALL
ORD000096,CUST000119,PROD0033,2023-06-06,1,475947,0.05,452149,CANCELLED,CALL
ORD000097,CUST000051,PROD0039,2023-06-03,2,433656,0.0,867312,COMPLETED,APP
ORD000098,CUST000189,PROD0018,2023-09-17,4,37151,0.2,118883,COMPLETED,APP
ORD000099,CUST000062,PROD0030,2023-08-17,5,454539,0.2,1818156,COMPLETED,CALL
ORD000100,CUST000031,PROD0001,2023-10-09,3,436523,0.1,1178612,COMPLETED,CALL
ORD000101,CUST000082,PROD0020,2023-11-23,1,321259,0.05,305196,COMPLETED,APP
ORD000102,CUST000188,PROD0021,2023-08-10,3,438400,0.15,1117920,SHIPPED,CALL
ORD000103,CUST000086,PROD0013,2023-07-09,5,423298,0.2,1693192,COMPLETED,WEB
ORD000104,CUST000177,PROD0026,2023-11-17,3,492289,0.15,1255336,COMPLETED,WEB
ORD000105,CUST000192,PROD0032,2023-08-15,3,269463,0.05,767969,COMPLETED,CALL
ORD000106,CUST000011,PROD0038,2023-11-29,5,291886,0.2,1167544,COMPLETED,CALL
ORD000107,CUST000063,PROD0044,2023-10-15,4,281173,0.15,955988,COMPLETED,APP
ORD000108,CUST000050,PROD0043,2023-10-21,2,381143,0.0,762286,COMPLETED,WEB
ORD000109,CUST000074,PROD0047,2023-10-22,2,339007,0.15,576311,PROCESSING,CALL
ORD000110,CUST000026,PROD0015,2023-08-30,2,249346,0.15,423888,PROCESSING,APP
ORD000111,CUST000097,PROD0024,2023-08-06,5,346370,0.0,1731850,COMPLETED,WEB
ORD000112,CUST000137,PROD0004,2023-11-10,5,491699,0.1,2212645,CANCELLED,WEB
ORD000113,CUST000137,PROD0013,2023-10-07,1,423298,0.2,338638,COMPLETED,CALL
ORD000114,CUST000086,PROD0027,2023-06-14,2,83407,0.0,166814,REFUNDED,APP
ORD000115,CUST000119,PROD0037,2023-09-26,2,272693,0.0,545386,PROCESSING,WEB
ORD000116,CUST000024,PROD0032,2023-08-25,2,269463,0.0,538926,COMPLETED,WEB
ORD000117,CUST000132,PROD0018,2023-07-24,2,37151,0.1,66871,SHIPPED,APP
ORD000118,CUST000026,PROD0009,2023-11-05,4,181593,0.15,617416,COMPLETED,APP
ORD000119,CUST000139,PROD0025,2023-06-02,1,350797,0.1,315717,COMPLETED,APP
ORD000120,CUST000004,PROD0021,2023-12-11,5,438400,0.0,2192000,COMPLETED,WEB
ORD000121,CUST000185,PROD0047,2023-08-03,2,339007,0.15,576311,PROCESSING,APP
ORD000122,CUST000038,PROD0007,2023-09-07,5,246973,0.1,1111378,COMPLETED,WEB
ORD000123,CUST000013,PROD0020,2023-08-14,4,321259,0.15,1092280,COMPLETED,CALL
ORD000124,CUST000100,PROD0028,2023-11-23,2,174890,0.0,349780,REFUNDED,APP
ORD000125,CUST000105,PROD0049,2023-07-19,2,388944,0.2,622310,COMPLETED,WEB
ORD000126,CUST000064,PROD0047,2023-07-04,2,339007,0.15,576311,COMPLETED,CALL
ORD000127,CUST000050,PROD0008,2023-09-02,1,403112,0.05,382956,PROCESSING,APP
ORD000128,CUST000155,PROD0040,2023-06-13,5,367069,0.0,1835345,COMPLETED,CALL
ORD000129,CUST000007,PROD0004,2023-11-24,1,491699,0.05,467114,COMPLETED,WEB
ORD000130,CUST000160,PROD0017,2023-09-30,2,353192,0.0,706384,COMPLETED,CALL
ORD000131,CUST000003,PROD0020,2023-09-16,1,321259,0.15,273070,COMPLETED,CALL
ORD000132,CUST000180,PROD0045,2023-07-06,4,419533,0.2,1342505,PROCESSING,CALL
ORD000133,CUST000183,PROD0008,2023-08-12,1,403112,0.2,322489,COMPLETED,WEB
ORD000134,CUST000180,PROD0013,2023-12-17,3,423298,0.2,1015915,COMPLETED,WEB
ORD000135,CUST000105,PROD0046,2023-09-13,3,185642,0.0,556926,COMPLETED,APP
ORD000136,CUST000060,PROD0045,2023-10-02,3,419533,0.0,1258599,COMPLETED,CALL
ORD000137,CUST000026,PROD0008,2023-10-25,4,403112,0.0,1612448,CANCELLED,CALL
ORD000138,CUST000023,PROD0047,2023-12-03,1,339007,0.0,339007,COMPLETED,APP
ORD000139,CUST000085,PROD0017,2023-09-27,1,353192,0.0,353192,SHIPPED,WEB
ORD000140,CUST000084,PROD0024,2023-11-21,3,346370,0.05,987154,SHIPPED,WEB
ORD000141,CUST000013,PROD0001,2023-07-06,2,436523,0.0,873046,COMPLETED,APP
ORD000142,CUST000184,PROD0018,2023-12-05,1,37151,0.0,37151,SHIPPED,WEB
ORD000143,CUST000034,PROD0026,2023-09-11,4,492289,0.0,1969156,SHIPPED,CALL
ORD000144,CUST000139,PROD0027,2023-11-14,2,83407,0.0,166814,COMPLETED,CALL
ORD000145,CUST000019,PROD0011,2023-06-27,4,218517,0.1,786661,COMPLETED,CALL
ORD000146,CUST000198,PROD0029,2023-07-17,5,325096,0.05,1544206,SHIPPED,CALL
ORD000147,CUST000009,PROD0044,2023-12-04,2,281173,0.05,534228,CANCELLED,WEB
ORD000148,CUST000120,PROD0029,2023-06-12,1,325096,0.0,325096,COMPLETED,WEB
ORD000149,CUST000198,PROD0034,2023-12-14,5,461314,0.15,1960584,COMPLETED,CALL
ORD000150,CUST000100,PROD0034,2023-10-12,5,461314,0.0,2306570,COMPLETED,CALL
ORD000151,CUST000071,PROD0031,2023-08-28,4,108905,0.0,435620,SHIPPED,CALL
ORD000152,CUST000181,PROD0004,2023-06-03,2,491699,0.1,885058,SHIPPED,APP
ORD000153,CUST000049,PROD0005,2023-12-10,4,140902,0.0,563608,COMPLETED,APP
ORD000154,CUST000014,PROD0033,2023-07-28,5,475947,0.15,2022774,COMPLETED,WEB
ORD000155,CUST000024,PROD0030,2023-09-22,5,454539,0.05,2159060,COMPLETED,APP
ORD000156,CUST000131,PROD0021,2023-07-01,4,438400,0.15,1490560,COMPLETED,WEB
ORD000157,CUST000118,PROD0027,2023-06-10,5,83407,0.1,375331,COMPLETED,WEB
ORD000158,CUST000179,PROD0040,2023-11-11,3,367069,0.1,991086,COMPLETED,CALL
ORD000159,CUST000196,PROD0030,2023-08-27,3,454539,0.2,1090893,COMPLETED,WEB
ORD000160,CUST000133,PROD0022,2023-10-22,5,130034,0.1,585153,COMPLETED,CALL
ORD000161,CUST000107,PROD0046,2023-09-24,1,185642,0.0,185642,SHIPPED,WEB
ORD000162,CUST000001,PROD0022,2023-08-30,3,130034,0.1,351091,COMPLETED,CALL
ORD000163,CUST000032,PROD0003,2023-07-13,4,459847,0.0,1839388,SHIPPED,CALL
ORD000164,CUST000119,PROD0007,2023-08-05,5,246973,0.0,1234865,COMPLETED,APP
ORD000165,CUST000062,PROD0030,2023-12-18,2,454539,0.15,772716,COMPLETED,APP
ORD000166,CUST000013,PROD0041,2023-11-20,5,40359,0.0,201795,SHIPPED,APP
ORD000167,CUST000134,PROD0043,2023-10-29,5,381143,0.0,1905715,REFUNDED,WEB
ORD000168,CUST000153,PROD0048,2023-06-13,5,97493,0.05,463091,SHIPPED,APP
ORD000169,CUST000147,PROD0050,2023-07-16,5,138215,0.0,691075,SHIPPED,WEB
ORD000170,CUST000031,PROD0025,2023-11-16,5,350797,0.1,1578586,PROCESSING,CALL
ORD000171,CUST000112,PROD0027,2023-11-03,2,83407,0.0,166814,COMPLETED,APP
ORD000172,CUST000085,PROD0029,2023-07-05,2,325096,0.05,617682,COMPLETED,CALL
ORD000173,CUST000148,PROD0020,2023-11-27,5,321259,0.2,1285036,COMPLETED,CALL
ORD000174,CUST000161,PROD0041,2023-07-26,2,40359,0.0,80718,COMPLETED,APP
ORD000175,CUST000102,PROD0044,2023-07-04,2,281173,0.1,506111,COMPLETED,CALL
ORD000176,CUST000094,PROD0046,2023-06-30,3,185642,0.1,501233,COMPLETED,CALL
ORD000177,CUST000195,PROD0046,2023-09-15,5,185642,0.0,928210,PROCESSING,APP
ORD000178,CUST000004,PROD0034,2023-06-28,1,461314,0.05,438248,COMPLETED,CALL
ORD000179,CUST000016,PROD0013,2023-08-08,2,423298,0.0,846596,COMPLETED,WEB
ORD000180,CUST000019,PROD0045,2023-12-18,3,419533,0.0,1258599,SHIPPED,WEB
ORD000181,CUST000105,PROD0029,2023-06-27,5,325096,0.2,1300384,COMPLETED,CALL
ORD000182,CUST000064,PROD0048,2023-11-13,5,97493,0.05,463091,COMPLETED,CALL
ORD000183,CUST000083,PROD0045,2023-11-18,1,419533,0.05,398556,COMPLETED,CALL
ORD000184,CUST000092,PROD0036,2023-06-14,1,493697,0.15,419642,COMPLETED,CALL
ORD000185,CUST000130,PROD0015,2023-11-10,3,249346,0.2,598430,COMPLETED,CALL
ORD000186,CUST000179,PROD0013,2023-12-16,2,423298,0.0,846596,COMPLETED,CALL
ORD000187,CUST000023,PROD0012,2023-07-15,5,444290,0.0,2221450,COMPLETED,APP
ORD000188,CUST000080,PROD0036,2023-08-07,2,493697,0.0,987394,COMPLETED,APP
ORD000189,CUST000002,PROD0022,2023-09-28,2,130034,0.0,260068,COMPLETED,APP
ORD000190,CUST000176,PROD0004,2023-12-16,5,491699,0.2,1966796,COMPLETED,APP
ORD000191,CUST000169,PROD0036,2023-08-31,1,493697,0.2,394957,SHIPPED,CALL
ORD000192,CUST000063,PROD0012,2023-10-12,1,444290,0.2,355432,COMPLETED,APP
ORD000193,CUST000159,PROD0035,2023-09-12,1,413894,0.0,413894,COMPLETED,WEB
ORD000194,CUST000194,PROD0022,2023-08-24,3,130034,0.0,390102,COMPLETED,CALL
ORD000195,CUST000153,PROD0031,2023-10-22,1,108905,0.0,108905,COMPLETED,APP
ORD000196,CUST000068,PROD0042,2023-11-05,5,38850,0.0,194250,REFUNDED,CALL
ORD000197,CUST000094,PROD0025,2023-06-30,4,350797,0.0,1403188,COMPLETED,APP
ORD000198,CUST000008,PROD0034,2023-12-15,3,461314,0.1,1245547,SHIPPED,APP
ORD000199,CUST000141,PROD0003,2023-08-15,2,459847,0.0,919694,COMPLETED,WEB
ORD000200,CUST000049,PROD0050,2023-10-16,5,138215,0.0,691075,COMPLETED,WEB
ORD000201,CUST000196,PROD0041,2023-12-16,2,40359,0.2,64574,COMPLETED,WEB
ORD000202,CUST000059,PROD0035,2023-11-27,4,413894,0.15,1407239,SHIPPED,WEB
ORD000203,CUST000045,PROD0002,2023-09-26,3,292469,0.0,877407,COMPLETED,WEB
ORD000204,CUST000052,PROD0017,2023-10-21,1,353192,0.1,317872,SHIPPED,APP
ORD000205,CUST000119,PROD0025,2023-09-24,4,350797,0.05,1333028,COMPLETED,APP
ORD000206,CUST000197,PROD0008,2023-10-15,1,403112,0.15,342645,SHIPPED,WEB
ORD000207,CUST000173,PROD0003,2023-11-27,1,459847,0.0,459847,CANCELLED,WEB
