session_id,user_id,start_time,duration_sec,page_views,utm_source,utm_medium,utm_campaign,device,converted
SESS00000001,CUST000096,2023-07-30 23:25:00,272,14,naver,email,cmp_22,tablet,0
SESS00000002,CUST000099,2023-06-27 04:44:00,62,20,direct,cpc,,mobile,1
SESS00000003,CUST000041,2023-11-16 23:56:00,1101,9,naver,organic,cmp_7,mobile,0
SESS00000004,CUST000177,2023-07-29 10:22:00,30,11,google,social,cmp_25,mobile,0
SESS00000005,CUST000077,2023-07-31 21:53:00,111,17,direct,email,,desktop,0
SESS00000006,CUST000155,2023-07-03 11:44:00,1528,9,facebook,organic,,tablet,0
SESS00000007,,2023-08-05 20:51:00,1393,11,referral,referral,,tablet,0
SESS00000008,,2023-06-02 09:49:00,1121,16,direct,cpc,,tablet,0
SESS00000009,CUST000054,2023-07-31 05:37:00,1217,18,direct,social,cmp_28,tablet,0
SESS00000010,CUST000120,2023-10-17 21:18:00,897,9,google,referral,cmp_17,desktop,0
SESS00000011,CUST000190,2023-10-17 05:49:00,666,14,referral,email,cmp_26,mobile,1
SESS00000012,CUST000102,2023-10-02 04:42:00,1207,6,naver,social,,tablet,0
SESS00000013,,2023-06-21 18:25:00,355,18,facebook,organic,cmp_12,mobile,0
SESS00000014,CUST000091,2023-11-17 20:25:00,354,10,direct,organic,,mobile,0
SESS00000015,CUST000047,2023-11-13 00:05:00,1753,6,facebook,organic,,mobile,0
SESS00000016,CUST000153,2023-06-03 00:38:00,1448,14,direct,organic,,desktop,1
SESS00000017,CUST000001,2023-08-07 10:52:00,1728,2,email,social,,mobile,0
SESS00000018,,2023-11-13 01:01:00,1478,8,email,cpc,cmp_25,mobile,0
SESS00000019,CUST000196,2023-07-22 17:39:00,373,5,facebook,social,,mobile,0
SESS00000020,CUST000098,2023-06-02 22:02:00,869,1,email,organic,,tablet,1
SESS00000021,CUST000103,2023-06-29 21:47:00,866,2,direct,email,,desktop,0
SESS00000022,,2023-08-30 00:00:00,1182,11,facebook,email,cmp_9,desktop,0
SESS00000023,,2023-11-16 04:54:00,466,4,facebook,organic,,mobile,1
SESS00000024,,2023-11-06 08:18:00,1469,3,direct,social,cmp_7,tablet,0
SESS00000025,CUST000074,2023-06-30 23:12:00,951,6,direct,email,,desktop,0
SESS00000026,CUST000108,2023-06-09 13:54:00,1428,7,naver,referral,cmp_20,mobile,0
SESS00000027,,2023-06-18 15:20:00,1767,11,google,referral,,mobile,0
SESS00000028,,2023-10-05 19:39:00,1166,7,facebook,social,,mobile,0
SESS00000029,CUST000057,2023-09-22 09:17:00,1590,9,google,email,cmp_9,desktop,0
SESS00000030,CUST000051,2023-10-07 12:36:00,533,15,email,cpc,cmp_28,desktop,0
SESS00000031,CUST000058,2023-09-05 04:26:00,1155,19,google,social,,mobile,0
SESS00000032,CUST000181,2023-08-08 02:41:00,34,1,email,social,cmp_28,desktop,0
SESS00000033,CUST000190,2023-08-08 05:05:00,810,9,facebook,social,,tablet,1
SESS00000034,,2023-10-27 07:30:00,1102,3,naver,(none),,desktop,0
SESS00000035,CUST000106,2023-06-25 09:14:00,943,17,email,social,cmp_15,mobile,0
SESS00000036,CUST000139,2023-09-24 20:54:00,729,14,naver,email,,mobile,0
SESS00000037,CUST000060,2023-09-12 17:59:00,1667,3,naver,(none),cmp_23,mobile,0
SESS00000038,,2023-11-03 18:02:00,132,5,direct,email,,mobile,0
SESS00000039,CUST000199,2023-10-11 09:21:00,93,15,referral,referral,cmp_10,mobile,0
SESS00000040,,2023-09-18 01:21:00,84,8,referral,organic,,desktop,0
SESS00000041,CUST000007,2023-09-10 15:41:00,911,7,google,email,,mobile,0
SESS00000042,CUST000189,2023-07-17 13:26:00,1766,16,email,(none),cmp_3,tablet,1
SESS00000043,CUST000131,2023-11-13 16:27:00,683,7,email,social,,mobile,0
SESS00000044,,2023-10-25 13:13:00,633,6,referral,referral,,tablet,0
SESS00000045,,2023-06-07 23:54:00,654,11,google,(none),,tablet,0
SESS00000046,,2023-11-25 14:03:00,547,18,direct,(none),,tablet,0
SESS00000047,CUST000114,2023-06-08 13:25:00,431,6,google,cpc,,mobile,0
SESS00000048,,2023-06-04 15:12:00,1668,19,email,organic,,tablet,0
SESS00000049,CUST000146,2023-10-16 05:31:00,255,18,facebook,email,,mobile,0
SESS00000050,CUST000024,2023-09-26 23:58:00,22,18,direct,social,,mobile,0
SESS00000051,CUST000008,2023-07-23 22:44:00,1221,18,referral,(none),cmp_29,mobile,0
SESS00000052,CUST000084,2023-08-17 21:40:00,1241,1,google,social,cmp_19,tablet,0
SESS00000053,CUST000098,2023-11-01 05:04:00,1273,11,email,email,cmp_12,desktop,0
SESS00000054,CUST000070,2023-07-30 17:58:00,1059,9,referral,organic,,tablet,0
SESS00000055,,2023-11-21 23:04:00,964,18,google,email,,mobile,0
SESS00000056,CUST000165,2023-08-09 21:14:00,1398,4,naver,(none),,mobile,0
SESS00000057,CUST000065,2023-10-27 23:42:00,300,17,google,social,cmp_15,mobile,0
SESS00000058,CUST000154,2023-07-10 13:40:00,621,2,direct,cpc,cmp_17,tablet,0
SESS00000059,CUST000017,2023-09-25 05:25:00,317,17,facebook,referral,,tablet,0
SESS00000060,,2023-08-15 09:53:00,1088,11,google,(none),,desktop,0
SESS00000061,CUST000149,2023-08-26 18:11:00,1323,15,referral,social,cmp_14,tablet,1
SESS00000062,,2023-11-23 03:46:00,1238,13,google,organic,,desktop,0
SESS00000063,CUST000009,2023-10-14 04:53:00,44,8,email,cpc,,tablet,0
SESS00000064,CUST000108,2023-07-20 21:57:00,551,9,naver,organic,cmp_20,desktop,0
SESS00000065,CUST000065,2023-08-25 16:43:00,1692,16,google,cpc,cmp_24,tablet,0
SESS00000066,CUST000169,2023-07-07 09:10:00,1356,12,facebook,email,,tablet,0
SESS00000067,,2023-07-28 14:23:00,519,1,facebook,referral,,tablet,0
SESS00000068,,2023-11-28 01:15:00,1259,13,referral,email,cmp_30,desktop,0
SESS00000069,CUST000196,2023-11-24 09:02:00,730,12,facebook,(none),,desktop,0
SESS00000070,CUST000137,2023-09-21 11:49:00,580,1,facebook,email,,desktop,0
SESS00000071,,2023-10-18 04:07:00,731,19,direct,email,cmp_12,desktop,0
SESS00000072,CUST000039,2023-07-21 04:14:00,886,2,direct,email,,tablet,0
