report_id,competitor_id,our_campaign_ref,our_product_ids,competitor_product_ids,channels_analyzed,poached_influencer_ids,report_date,source,sov_google_ads_pct,sov_google_ads_trend,sov_meta_ads_pct,sov_meta_ads_trend,sov_tiktok_ads_pct,sov_tiktok_ads_trend,sov_naver_ads_pct,sov_naver_ads_trend,sov_kakao_moment_pct,sov_kakao_moment_trend,sov_youtube_pct,sov_youtube_trend,sov_instagram_pct,sov_instagram_trend,sov_twitter_x_pct,sov_twitter_x_trend,sov_linkedin_pct,sov_linkedin_trend,sov_email_pct,sov_email_trend,sov_sms_pct,sov_sms_trend,sov_push_notification_pct,sov_push_notification_trend,sov_display_network_pct,sov_display_network_trend,sov_native_ad_pct,sov_native_ad_trend,sov_affiliate_pct,sov_affiliate_trend,sov_programmatic_pct,sov_programmatic_trend,sov_ott_ads_pct,sov_ott_ads_trend,sov_podcast_ads_pct,sov_podcast_ads_trend,sov_influencer_pct,sov_influencer_trend,sov_offline_event_pct,sov_offline_event_trend,traffic_raw,traffic_norm,traffic_pct,traffic_delta,traffic_yoy,traffic_mom,traffic_avg7d,traffic_avg30d,traffic_median,traffic_p75,traffic_std,traffic_min,traffic_max,traffic_organic,traffic_paid,traffic_cumul,traffic_our_val,traffic_comp_val,traffic_gap,traffic_rank,traffic_index,traffic_score,traffic_trend_val,traffic_benchmark,social_raw,social_norm,social_pct,social_delta,social_yoy,social_mom,social_avg7d,social_avg30d,social_median,social_p75,social_std,social_min,social_max,social_organic,social_paid,social_cumul,social_our_val,social_comp_val,social_gap,social_rank,social_index,social_score,social_trend_val,social_benchmark,search_raw,search_norm,search_pct,search_delta,search_yoy,search_mom,search_avg7d,search_avg30d,search_median,search_p75,search_std,search_min,search_max,search_organic,search_paid,search_cumul,search_our_val,search_comp_val,search_gap,search_rank,search_index,search_score,search_trend_val,search_benchmark,brand_raw,brand_norm,brand_pct,brand_delta,brand_yoy,brand_mom,brand_avg7d,brand_avg30d,brand_median,brand_p75,brand_std,brand_min,brand_max,brand_organic,brand_paid,brand_cumul,brand_our_val,brand_comp_val,brand_gap,brand_rank,brand_index,brand_score,brand_trend_val,brand_benchmark,pricing_raw,pricing_norm,pricing_pct,pricing_delta,pricing_yoy,pricing_mom,pricing_avg7d,pricing_avg30d,pricing_median,pricing_p75,pricing_std,pricing_min,pricing_max,pricing_organic,pricing_paid,pricing_cumul,pricing_our_val,pricing_comp_val,pricing_gap,pricing_rank,pricing_index,pricing_score,pricing_trend_val,pricing_benchmark,threat_level,market_share_pct,price_index
CI-4vmkb8d3vkht,COMP-2,,PRD-203|PRD-66,COMP_PRD-56|COMP_PRD-24|COMP_PRD-147,twitter_x|naver_ads,N/A,10/06/2024,manual,0.8,up,29.61,volatile,21.4,down,8.33,volatile,2.67,급증,17.3,-,12.48,down,1.03,down,4.91,up,22.22,급증,13.67,급감,10.21,down,5.64,volatile,18.14,급증,3.88,nan,1.41,volatile,0.05,up,0.62,급감,16.05,급증,7.48,down,33.89,112.38,161.92,16.54,387.41,87.83,83.42,94.15,7.62,36.33,145.62,121.72,41.63,37.1,18.54,33.09,12.69,40.72,0.46,217.16,183.84,0.0,175.88,12.29,53.76,33.48,1.47,171.38,114.31,95.96,23.64,106.33,177.96,48.27,109.36,144.15,12.98,28.93,26.36,36.4,122.72,25.08,170.11,97.45,0.0,8.84,125.38,50.54,105.11,78.42,8.76,74.52,210.36,14.02,83.41,0.0,60.11,69.59,157.69,56.27,112.78,0.0,102.62,265.73,87.54,6.15,180.59,108.69,9.68,18.16,2.29,77.46,135.48,242.05,41.02,18.11,107.15,32.23,121.95,71.85,28.15,65.91,66.63,96.04,103.39,181.04,182.93,36.6,260.13,23.19,33.8,133.4,19.12,164.35,78.41,37.39,29.42,27.41,112.23,12.28,159.76,83.11,84.01,38.85,8.84,146.93,0.0,182.96,60.64,503.96,65.99,6.07,57.76,109.6,163.23,154.08,163.1,118.91,0.0,115.1,emerging,4.99,107.3
CI-c5unp17r1k5c,COMP-20,CAMP-0013,PRD-221,COMP_PRD-154,youtube|email|meta_ads,null,08/16/2025,socialbakers,10.62,down,23.25,up,17.35,,23.38,급증,23.98,급감,18.44,down,19.55,stable,6.86,down,12.16,급증,16.56,급감,11.92,급감,7.21,급증,8.23,stable,25.75,volatile,14.87,급감,27.82,급감,20.66,stable,27.65,volatzle,19.87,down,16.35,volatile,64.6,195.99,157.61,175.3,57.37,22.75,73.17,176.89,0.0,30.63,96.96,118.84,242.15,57.21,70.06,12.6,166.42,78.26,33.0,199.73,0.5,91.82,101.16,22.79,30.83,222.6,31.58,18.31,11.24,19.61,2.47,236.15,106.46,36.73,128.16,76.21,87.53,24.09,50.7,0.0,64.18,255.34,23.06,6.04,3.95,275.12,38.07,55.61,188.76,4.45,36.86,8.54,39.14,6.61,251.4,83.62,104.01,85.13,142.01,268.36,235.86,47.21,45.79,33.87,101.09,303.15,20.92,20.82,137.64,48.56,22.97,6.03,132.55,48.73,70.81,8.79,60.84,206.35,73.03,81.87,69.67,155.05,21.05,81.78,121.44,42.64,21.05,144.6,333.12,46.74,16.08,79.68,423.28,121.92,111.57,17.59,6.74,24.11,113.29,276.31,135.11,130.81,296.54,153.02,9.52,21.18,16.92,81.14,17.25,192.61,559.09,23.02,5.51,68.12,110.75,47.17,40.26,24.53,28.34,109.35,declining,9.81,90.2
CI-k15ic82iai5s,COMP-15,,PRD-286,COMP_PRD-25|COMP_PRD-124|COMP_PRD-151|COMP_PRD-190,youtube|instagram,nan,01/06/2025,미입력,15.12,down,10.97,stable,8.34,급증,10.49,down,21.12,stable,21.54,급감,17.8,급감,27.26,up,16.3,stable,0.07,stable,2.78,up,19.64,up,24.14,volatile,26.02,down,19.02,down,26.68,stable,3.98,down,5.09,volatile,24.56,stable,24.81,down,200.59,32.57,19.3,111.61,229.47,10.05,11387.0,25.43,80.96,155.72,94.36,80.93,390.75,104.75,46.5,87.18,84.65,170.97,33.23,67.33,2.84,86.23,179.97,87.01,338.84,61.11,82.32,25.98,0.0,206.55,21.01,3.8,49.42,83.5,51.13,70.38,20.21,235.37,38.91,111.5,273.0,31.73,84.79,55.25,111.66,172.95,169.31,117.92,8.3,104.97,29.98,49.76,50.56,225.66,33.35,15.04,34.32,117.72,25.8,7.52,112.78,196.84,314.76,180.5,342.98,29.97,25.98,153.32,135.94,199.16,306.01,225.89,23.05,79.98,22.31,81.63,190.71,289.91,42.21,29.53,13.61,10.9,271.04,5.12,21.39,69.55,28.71,25.52,150.71,108.42,50.28,92.28,346.87,4.25,153.78,11.94,268.03,247.52,25.68,0.0,67.48,68.08,55.21,266.72,2.14,117.47,45.6,5.99,68.69,18.46,53.28,49.58,0.86,31.84,20.04,39.06,46.69,94.06,16.41,64.78,high,1.87,124.5
CI-o4rwferq99yi,COMP-23,CAMP-0063,PRD-119|PRD-194|PRD-248|PRD-467|PRD-275,COMP_PRD-13,youtube|native_ad|podcast_ads|meta_ads,INF-224,22-10-2025,similarweb,1.96,up,19.13,up,20.94,up,0.16,급증,18.62,급증,6.95,급감,12.0,null,7.71,stable,7.36,up,18.58,volatile,7.79,급증,7.87,급증,4.79,급증,1.97,stable,15.18,급증,3.43,stable,0.07,doyn,18.94,stable,14.97,급감,22.02,급증,39.19,36.57,178.82,215.36,174.77,115.49,44.62,15.43,24.44,34.17,66.37,41.08,79.64,104.16,107.81,250.04,68.42,10.88,27.12,10917.0,41.23,720.0,14655.000000000002,124.79,273.2,379.21,37.24,82.23,17.92,24.45,14.48,2.5,18.61,142.67,147.76,43.58,151.07,251.52,152.18,45.28,221.25,161.26,65.77,62.73,38.86,25.94,73.64,12.89,90.91,31.04,229.69,221.2,110.88,20.1,32.61,24.21,1.54,45.07,4.74,131.18,43.91,53.66,24.66,38.22,148.18,95.83,41.97,310.47,13.02,26.12,53.39,44.85,40.43,276.43,57.91,0.0,73.72,25.11,436.82,79.13,0.0,66.6,65.21,44.01,20.02,48.25,94.64,88.27,68.26,92.56,9.68,147.42,70.84,30.17,129.02,150.84,71.8,77.59,24.68,299.03,231.6,36.52,38.51,73.08,111.57,53.85,83.62,131.04,1739.0,165.17,84.55,21.98,5.47,53.91,24.72,279.56,16.07,4.55,222.02,87.38,critical,23.12,112.2
CI-lxsc7m8n7a1o,COMP-25,CAMP-0738,PRD-351,COMP_PRD-107,twitter_x|kakao_moment|influencer|native_ad|instagram|push_notification,,23-09-2023,socialbakers,27.02,down,10.88,급감,2.09,up,7.41,volatile,12.65,급증,29.15,volatile,24.59,급감,10.23,volatile,19.43,down,14.36,stable,28.54,up,3.97,volatile,6.37,volatile,14.66,up,6.26,up,27.79,down,21.04,down,4.23,volatile,2.86,up,19.25,up,489.02,49.85,222.13,3.28,12.16,158.13,4.15,336.87,65.07,27.21,18.55,31.69,268.83,409.16,69.21,87.46,29.11,91.75,12.99,54.84,12.51,104.53,189.08,147.19,180.06,0.0,209.57,24.9,32.2,357.58,0.0,107.43,176.1,39.37,24.36,89.22,55.09,0.0,0.81,10.26,70.18,134.68,94.08,6.67,411.21,64.7,97.99,9.27,29.16,336.51,9.13,53.6,264.43,86.41,10.32,0.0,73.96,19.89,138.58,10.27,144.82,178.4,283.19,15.87,93.84,81.81,185.83,125.11,57.86,21.49,79.91,34.8,133.87,39.5,81.53,0.0,82.93,45.65,10.36,83.99,103.77,94.68,72.64,50.39,382.72,27.71,14.18,1.69,52.45,100.97,0.0,89.57,111.33,38.15,37.48,200.37,52.88,111.7,4.72,25.38,96.95,11.55,64.05,147.2,293.1,115.6,122.49,132.91,164.05,105.36,16.49,98.95,47.25,167.01,35.0,130.45,14.01,97.83,47.59,6.84,emerging,32.91,109.9
CI-s6j4rgd9a4qy,COMP-21,,PRD-170|PRD-46|PRD-328|PRD-222,COMP_PRD-179,linkedin,-,21-11-2025,manual,16.76,stable,21.44,volatile,13.85,stable,16.36,up,15.33,down,9.36,null,2.34,급감,27.27,stable,23.64,stable,25.77,stable,11.58,급증,21.04,up,5.09,급증,9.1,up,29.37,down,23.35,급감,12.75,급증,11.55,up,1.67,stable,13.25,volatile,90.39,0.0,71.88,74.59,74.01,16280.000000000002,123.22,142.01,181.71,20.88,127.14,141.49,204.21,172.54,87.33,40.48,3497.9999999999995,63.14,0.0,72.47,130.16,121.5,192.08,134.3,21.43,22.73,59.12,2.93,66.83,150.48,19.01,54.81,3.61,2.45,88.01,164.29,186.23,89.69,35.53,7.18,175.7,31.09,120.85,9.51,24.77,124.74,0.0,16.45,25.93,39.51,47.4,27.62,177.75,19.62,38.38,39.65,5.51,122.12,980.0000000000001,1907.9999999999998,120.01,37.99,127.39,74.69,29.45,3.66,216.89,35.89,43.73,40.65,79.44,381.3,97.36,64.33,106.45,217.73,177.59,35.97,83.87,6.28,98.02,155.18,243.93,3.24,136.23,79.79,77.16,224.54,0.3,86.43,132.81,116.74,60.23,55.97,73.88,79.63,152.23,28.03,9.99,76.77,5.15,137.95,28.84,241.45,24.58,11.23,175.33,207.73,58.52,31624.0,40.82,85.82,61.96,264.37,78.44,95.45,0.0,143.11,72.6,55.72,emerging,11.32,82.6
CI-nh12zpxm0m2v,COMP-26,CAMP-0382,PRD-63|PRD-426|PRD-364,COMP_PRD-121|COMP_PRD-28|COMP_PRD-160,display_network|affiliate|programmatic,-,06/18/2023,news,2.22,volatile,8.33,volatile,6.37,급감,4.59,,7.15,down,5.48,d_wn,9.77,stable,15.11,,8.05,down,22.68,급증,19.29,급증,25.89,급감,12.05,급감,4.23,nan,11.33,volatile,16.16,volatile,7.07,volatile,3.48,up,25.81,up,26.52,up,88.97,124.76,62.85,253.23,42.53,8.76,76.95,67.18,57.9,26.76,70.59,0.0,0.0,107.34,191.21,67.72,67.28,1.48,48.93,94.75,14.48,149.39,107.31,199.03,9.68,50.85,60.12,22.19,60.3,133.21,37.1,98.59,205.16,179.95,131.32,128.6,0.0,138.69,141.65,149.62,352.0,16.95,38.51,1.42,58.67,35.91,62.17,274.07,277.15,0.45,114.25,81.21,94.83,98.74,3.67,227.22,45.49,69.05,142.63,41.16,327.11,66.63,54.39,74.77,84.38,5.99,5201.0,52.28,202.58,1.92,48.72,1.75,81.73,33.96,26.27,13.81,64.17,64.24,246.01,48.86,54.98,29.66,61.61,233.03,69.2,62.28,1.96,54.26,119.97,6.91,139.64,202.27,94.24,237.76,6.09,29.87,193.19,175.1,170.12,401.57,172.72,119.23,61.08,47.58,36.87,15.34,3.24,91.79,416.62,155.58,107.25,6.06,289.78,169.66,37.86,46.68,303.63,165.5,56.44,510.27,declining,18.81,111.3
CI-civcun6rjz01,COMP-23,,PRD-486|PRD-322,COMP_PRD-166|COMP_PRD-76,influencer,N/A,"Dec 07, 2024",industry_report,24.09,급증,27.17,stable,14.13,down,25.27,stable,0.74,up,7.01,volatile,10.37,미입력,10.9,up,12.25,volatile,1.58,up,18.17,stable,5.71,down,11.2,stable,10.36,stable,1.36,stable,23.04,up,25.38,up,5.03,volatile,24.43,nan,22.55,up,59.28,278.3,90.71,325.52,63.03,8.12,37.58,36.95,4.62,324.02,77.38,0.0,71.59,105.94,160.11,83.22,94.2,83.49,165.63,15.45,70.34,176.15,9.43,147.24,215.69,28.43,64.78,73.5,83.79,122.15,52.22,43.16,14.29,24.56,60.87,194.54,145.57,0.0,0.0,14.83,18.51,121.6,16.95,51.7,48.42,47.87,257.1,276.4,13.93,84.88,257.21,4.11,277.8,390.2,11.57,0.7,275.02,73.63,50.22,49.27,230.23,31882.0,132.66,52.13,96.44,48.38,194.5,156.51,79.19,33.91,0.0,107.38,303.76,140.33,291.09,142.11,1.88,108.32,90.69,33.4,68.61,4.82,25.43,425.9,57.91,49.49,2.14,401.65,66.83,3.43,106.23,110.99,223.52,39.65,1.13,243.36,132.51,247.51,0.0,116.48,23.57,82.64,104.56,61.94,15.86,99.54,139.37,77.44,58.38,338.66,157.55,2.15,106.6,0.26,6.88,54.3,2.29,8.0,98.21,26.21,declining,30.58,95.4
CI-cbxrnxwiunzc,COMP-5,CAMP-0943,PRD-42|PRD-150|PRD-95,COMP_PRD-169|COMP_PRD-92,native_ad|linkedin|sms|push_notification|instagram|youtube,,2023/10/01,industry_report,23.47,down,15.94,급감,11.64,up,21.08,급감,7.39,up,25.99,down,10.06,volatile,2.25,stable,17.78,stable,19.51,급감,29.24,volatile,29.95,급감,11.78,급감,24.92,급감,4.14,급감,14.79,급증,28.48,down,4.67,stable,11.58,급증,25.86,up,34.67,99.84,127.01,63.74,11.92,4.15,10.14,254.06,48.89,75.63,27.22,428.43,185.83,0.0,81.26,27.28,20.94,65.35,108.72,60.77,43.77,16.03,65.62,23.31,151.21,159.77,129.46,34.17,281.19,83.34,113.89,256.36,48.61,63.9,0.0,0.0,113.05,207.69,21.6,226.75,197.42,271.52,132.93,192.11,10.82,94.43,72.69,6.29,136.67,151.75,111.9,67.08,38.12,38.69,3.67,107.91,0.76,85.88,265.6,327.61,144.52,27.63,0.0,52.63,126.47,0.01,102.46,30.89,18.88,43.91,11.15,111.28,233.0,191.49,365.35,503.98,73.47,13.21,7.42,131.77,8.01,173.06,96.15,1.47,12.82,0.0,126.57,63.94,92.8,33.38,23.4,169.18,1630.9999999999998,43.3,123.45,40.88,65.81,202.81,42.94,41.16,286.04,94.18,137.42,191.72,552.78,1.64,12.18,2.81,34.99,2.81,92.2,14.06,42.45,94.03,12.32,1.54,36.75,14.65,80.05,8.43,,30.36,98.8
CI-p93nmzu5bsys,COMP-12,,PRD-422|PRD-375|PRD-302|PRD-343|PRD-11,COMP_PRD-199,display_network|offline_event|affiliate|youtube,nan,2024/06/05,socialbakers,10.87,stable,9.17,down,29.45,up,21.32,stable,28.63,down,1.36,dwwn,4.52,up,8.73,volatile,0.48,volatile,1.24,down,24.31,급감,21.3,급증,23.22,stable,24.97,up,5.78,급감,8.43,down,12.05,up,0.6,미입력,19.2,up,11.81,up,182.33,43.19,18.47,263.2,290.16,24.26,29.52,156.55,8.97,32.91,102.49,72.7,383.07,15.46,112.54,13.72,10589.0,86.47,211.41,66.76,273.72,58.19,52.3,117.95,274.4,24.7,128.66,46.49,60.5,19.28,183.18,13.23,198.81,172.28,35.92,16.36,76.55,173.14,53.69,32.92,221.65,97.96,0.0,321.32,68.92,56.05,55.88,114.84,4.79,0.0,89.72,69.92,23.46,243.51,67.52,34.56,69.73,72.94,0.0,182.9,12.03,95.78,156.87,65.04,152.0,23.69,34.66,16.41,18.38,41.23,29.39,264.84,100.52,32.72,56.96,35.04,139.07,123.28,22.3,16.9,64.95,24.03,0.0,416.93,27.36,81.91,343.7,96.37,35.11,7.85,124.58,0.0,59.03,66.74,123.8,54.41,67.17,6.31,7.64,20.81,189.24,220.23,15.11,39.12,0.0,256.54,0.0,142.62,47.46,12.01,129.97,3.24,90.92,5.34,106.98,35.77,0.0,120.69,4.07,47.68,medium,25.7,127.6
CI-7al9x7zejdxh,COMP-30,CAMP-0367,PRD-376|PRD-135|PRD-486,COMP_PRD-179|COMP_PRD-168|COMP_PRD-41|COMP_PRD-162,linkedin|podcast_ads|sms|influencer|native_ad|twitter_x,INF-180|INF-210,,ad_library,26.91,급감,11.02,down,0.31,volatile,27.93,down,7.95,volatile,0.65,급감,24.44,급증,10.5,급감,7.41,급감,14.66,down,28.29,stable,22.47,급증,12.44,급증,24.6,급감,18.57,급증,20.04,급감,8.68,급감,13.08,급증,21.08,volatile,3.1,급감,9.92,148.78,110.22,2.41,106.53,37.03,2.58,0.59,247.84,139.97,217.02,0.03,74.69,27.88,29.77,49.85,209.14,220.09,11.05,1.58,220.85,317.44,41.11,21.24,111.84,83.18,267.42,83.98,87.09,177.6,16.2,77.35,242.77,5.19,8.29,32.23,48.65,5.12,42.77,127.53,88.33,58.23,86.78,20.79,352.44,258.78,156.01,55.83,63.64,1.63,7.07,63.9,28.45,56.19,55.48,82.98,101.36,66.42,256.15,438.11,64.77,32.68,46.45,38.03,59.97,137.2,58.11,14.52,44.55,89.71,127.65,159.63,103.7,61.24,48.52,7.67,40637.0,14.91,209.08,40.09,53.26,9410.0,47.36,32.23,44.47,155.58,67.92,280.77,348.53,219.9,9.87,280.78,62.86,21.12,140.68,36.0,113.88,127.4,16.67,2.09,53.55,32.63,22.33,52.35,42.29,151.12,5.24,19.09,8.0,90.35,71.64,15.77,104.46,225.16,224.87,35.68,0.0,241.38,74.28,109.43,emerging,4.04,130.2
CI-qsnd24plp0ca,COMP-12,CAMP-0226,PRD-28|PRD-266,COMP_PRD-95|COMP_PRD-164|COMP_PRD-22|COMP_PRD-14|COMP_PRD-177,tiktok_ads|native_ad|linkedin,UNKNOWN,11-03-2024,socialbakers,25.77,급증,13.27,stable,11.05,급감,9.34,급감,12.39,stable,21.59,down,23.06,up,4.75,stable,8.57,stable,9.91,stable,28.97,down,27.32,up,10.48,급감,14.92,급증,0.5,volatile,4.74,급증,24.67,급감,11.77,down,8.53,volatile,19.47,급증,11.08,27.84,2971.0,217.17,704.86,86.37,187.44,117.79,93.79,135.68,53.76,10.09,166.93,6.96,31.27,60.21,14.43,28.85,55.2,124.31,121.75,0.0,100.5,127.36,137.33,147.14,98.88,131.55,66.97,106.25,155.74,4.18,118.1,38.49,95.41,63.51,239.13,0.0,0.0,198.97,64.34,69.02,4.73,8.68,7.12,187.69,43.41,124.58,34.8,12.94,90.43,113.8,111.5,284.33,0.0,45.26,9.7,80.5,60.7,67.74,253.91,57.01,14.4,68.25,25.92,8.34,73.03,4.06,112.74,9.09,101.64,0.0,103.79,330.5,5.91,117.05,106.75,146.17,48.55,2541.0,137.22,9.13,10.01,325.32,19.34,39.52,158.85,124.29,70.59,13.76,222.94,224.61,54.2,152.54,0.0,0.66,123.51,286.18,22.31,1.02,222.1,4015.0,0.0,66.5,286.35,195.84,137.62,247.84,37.52,29.09,68.5,93.76,159.39,46.93,73.62,1.96,60.26,75.38,3.81,15.77,critical,1.16,86.8
CI-ojj3hv0boz4v,COMP-12,UNKNOWN,PRD-89|PRD-103,COMP_PRD-197|COMP_PRD-64|COMP_PRD-116|COMP_PRD-25,ott_ads|native_ad|affiliate|programmatic|google_ads,INF-116|INF-182,22.07.2025,ad_library,27.84,급감,1.98,volatile,6.45,-,13.2,급감,10.92,,7.22,stable,16.57,급감,19.3,급감,4.33,down,3.42,급감,28.9,급감,6.37,down,22.48,,22.16,down,24.86,급증,27.54,nan,16.4,up,0.88,volatile,13.8,stable,13.46,volatile,206.89,40.37,147.6,22.91,101.07,137.34,17.46,3.68,1.81,135.34,216.26,86.14,121.75,4.29,1.58,154.27,326.96,54.68,108.36,115.62,110.69,38.26,6.08,36.44,30.1,24.25,19.53,104.21,11.36,50.63,92.94,101.9,41.14,368.11,75.67,42.82,67.61,337.04,58.26,54.33,128.66,72.85,47.45,53.16,485.69,38.34,92.97,40.67,264.79,101.16,16.7,40.19,31.95,38.64,122.77,32.48,386.61,13.95,31.46,36.77,172.36,17.15,137.24,50.66,9.65,13.73,21.25,97.37,169.31,59.39,24.45,215.54,118.75,52.79,236.97,42.87,3.21,18.87,49.75,36.08,48.54,62.52,0.53,51.85,16.77,84.38,140.26,41.59,71.38,117.98,76.27,9.57,124.02,89.54,55.74,30.64,71.25,67.1,433.45,52.97,18.64,69.22,137.82,437.44,44.42,112.95,138.85,28.21,8.15,112.66,35.02,4.83,0.92,202.58,5.9,49.37,143.75,92.8,26.53,228.05,declining,22.58,86.5
